recept_id,recipe_name,author,good,recipe_url,browsing_num,people,cooking_time,recept_type,ingredients,quantity,unit,recipe_upload_date,crawl_datetime
351123,影片◆焦糖蘋果醬—焦糖搶救成功歷險記,心心 Xinxin,175,https://icook.tw/recipes/351123,3.4萬瀏覽,,,main ingredients,蘋果,5顆,,2020-09-06,2025-10-23 22:26:51.965993
351123,影片◆焦糖蘋果醬—焦糖搶救成功歷險記,心心 Xinxin,175,https://icook.tw/recipes/351123,3.4萬瀏覽,,,main ingredients,糖,100g,,2020-09-06,2025-10-23 22:26:51.965993
351123,影片◆焦糖蘋果醬—焦糖搶救成功歷險記,心心 Xinxin,175,https://icook.tw/recipes/351123,3.4萬瀏覽,,,main ingredients,檸檬汁,30g,,2020-09-06,2025-10-23 22:26:51.965993
351123,影片◆焦糖蘋果醬—焦糖搶救成功歷險記,心心 Xinxin,175,https://icook.tw/recipes/351123,3.4萬瀏覽,,,sauce,糖,150g,,2020-09-06,2025-10-23 22:26:51.965993
351123,影片◆焦糖蘋果醬—焦糖搶救成功歷險記,心心 Xinxin,175,https://icook.tw/recipes/351123,3.4萬瀏覽,,,sauce,水,50g,,2020-09-06,2025-10-23 22:26:51.965993
351126,影片◆焦糖奶油醬—減肥路上最迷人反派角色,心心 Xinxin,151,https://icook.tw/recipes/351126,2萬瀏覽,,,main ingredients,糖,100g,,2020-09-06,2025-10-23 22:26:52.984934
351126,影片◆焦糖奶油醬—減肥路上最迷人反派角色,心心 Xinxin,151,https://icook.tw/recipes/351126,2萬瀏覽,,,main ingredients,鹽,4g,,2020-09-06,2025-10-23 22:26:52.984934
351126,影片◆焦糖奶油醬—減肥路上最迷人反派角色,心心 Xinxin,151,https://icook.tw/recipes/351126,2萬瀏覽,,,main ingredients,鮮奶油,120ml,,2020-09-06,2025-10-23 22:26:52.984934
351126,影片◆焦糖奶油醬—減肥路上最迷人反派角色,心心 Xinxin,151,https://icook.tw/recipes/351126,2萬瀏覽,,,main ingredients,奶油(可省略),20g,,2020-09-06,2025-10-23 22:26:52.984934
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,酪梨,半顆,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,青花菜,半顆,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,洋蔥,1/4棵,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,蕃茄,1顆,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,蘋果,1/2顆,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,香菜,適量,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",sauce,檸檬汁,適量,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",sauce,塩,適量,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",sauce,黑胡椒粉,適量,,2020-09-12,2025-10-23 22:26:53.686649
351191,酪梨莎莎醬,喜愛簡單烹飪的媽咪🐣🍎🥦,52,https://icook.tw/recipes/351191,1.2萬瀏覽,"4
人份","時間

10
分鐘",sauce,楓糖,適量,,2020-09-12,2025-10-23 22:26:53.686649
356191,蒜頭辣椒油,JESSIE_C,70,https://icook.tw/recipes/356191,2.1萬瀏覽,"10
人份","時間

60
分鐘",main ingredients,辣椒,一碗,,2020-10-24,2025-10-23 22:26:54.441496
356191,蒜頭辣椒油,JESSIE_C,70,https://icook.tw/recipes/356191,2.1萬瀏覽,"10
人份","時間

60
分鐘",main ingredients,蒜頭粒,一盒,,2020-10-24,2025-10-23 22:26:54.441496
356191,蒜頭辣椒油,JESSIE_C,70,https://icook.tw/recipes/356191,2.1萬瀏覽,"10
人份","時間

60
分鐘",main ingredients,鹽巴,酌量,,2020-10-24,2025-10-23 22:26:54.441496
356191,蒜頭辣椒油,JESSIE_C,70,https://icook.tw/recipes/356191,2.1萬瀏覽,"10
人份","時間

60
分鐘",main ingredients,冰糖,酌量,,2020-10-24,2025-10-23 22:26:54.441496
356191,蒜頭辣椒油,JESSIE_C,70,https://icook.tw/recipes/356191,2.1萬瀏覽,"10
人份","時間

60
分鐘",main ingredients,芥花油/葵花油,蓋過食材,,2020-10-24,2025-10-23 22:26:54.441496
357887,酸甜開胃紅蔥醬,米雪的懶人廚房,23,https://icook.tw/recipes/357887,4.3萬瀏覽,"5
人份","時間

15
分鐘",main ingredients,香菜,一小把,,2020-11-07,2025-10-23 22:26:55.008607
357887,酸甜開胃紅蔥醬,米雪的懶人廚房,23,https://icook.tw/recipes/357887,4.3萬瀏覽,"5
人份","時間

15
分鐘",main ingredients,紅辣椒,依喜好,,2020-11-07,2025-10-23 22:26:55.008607
357887,酸甜開胃紅蔥醬,米雪的懶人廚房,23,https://icook.tw/recipes/357887,4.3萬瀏覽,"5
人份","時間

15
分鐘",main ingredients,紅蔥頭,10顆,,2020-11-07,2025-10-23 22:26:55.008607
357887,酸甜開胃紅蔥醬,米雪的懶人廚房,23,https://icook.tw/recipes/357887,4.3萬瀏覽,"5
人份","時間

15
分鐘",main ingredients,檸檬汁（或是果醋）,依喜好,,2020-11-07,2025-10-23 22:26:55.008607
357887,酸甜開胃紅蔥醬,米雪的懶人廚房,23,https://icook.tw/recipes/357887,4.3萬瀏覽,"5
人份","時間

15
分鐘",main ingredients,糖,少許,,2020-11-07,2025-10-23 22:26:55.008607
357887,酸甜開胃紅蔥醬,米雪的懶人廚房,23,https://icook.tw/recipes/357887,4.3萬瀏覽,"5
人份","時間

15
分鐘",main ingredients,醬油（魚露更好）,少許,,2020-11-07,2025-10-23 22:26:55.008607
370746,奶油大蒜抹醬,sandra宅在家的幸福料理,112,https://icook.tw/recipes/370746,1.8萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,蒜頭,8顆,,2021-04-05,2025-10-23 22:26:55.524305
370746,奶油大蒜抹醬,sandra宅在家的幸福料理,112,https://icook.tw/recipes/370746,1.8萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,無鹽奶油,100g,,2021-04-05,2025-10-23 22:26:55.524305
370746,奶油大蒜抹醬,sandra宅在家的幸福料理,112,https://icook.tw/recipes/370746,1.8萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,巴西里乾粉,40g,,2021-04-05,2025-10-23 22:26:55.524305
370746,奶油大蒜抹醬,sandra宅在家的幸福料理,112,https://icook.tw/recipes/370746,1.8萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,鹽巴,1/4匙,,2021-04-05,2025-10-23 22:26:55.524305
385061,好用西餐白醬,viola料理師,380,https://icook.tw/recipes/385061,2.6萬瀏覽,"3
人份","時間

20
分鐘",main ingredients,奶油,30g,,2021-07-14,2025-10-23 22:26:56.026167
385061,好用西餐白醬,viola料理師,380,https://icook.tw/recipes/385061,2.6萬瀏覽,"3
人份","時間

20
分鐘",main ingredients,高筋麵粉,30g,,2021-07-14,2025-10-23 22:26:56.026167
385061,好用西餐白醬,viola料理師,380,https://icook.tw/recipes/385061,2.6萬瀏覽,"3
人份","時間

20
分鐘",main ingredients,牛奶,300ml,,2021-07-14,2025-10-23 22:26:56.026167
385061,好用西餐白醬,viola料理師,380,https://icook.tw/recipes/385061,2.6萬瀏覽,"3
人份","時間

20
分鐘",main ingredients,義式香料,1/2小匙,,2021-07-14,2025-10-23 22:26:56.026167
385061,好用西餐白醬,viola料理師,380,https://icook.tw/recipes/385061,2.6萬瀏覽,"3
人份","時間

20
分鐘",main ingredients,海鹽,1/2小匙,,2021-07-14,2025-10-23 22:26:56.026167
385713,湖南剁椒diy,潔西卡的家常美味,178,https://icook.tw/recipes/385713,5.6萬瀏覽,"10
人份","時間

5
分鐘",main ingredients,紅辣椒,75g,,2021-07-19,2025-10-23 22:26:56.567367
385713,湖南剁椒diy,潔西卡的家常美味,178,https://icook.tw/recipes/385713,5.6萬瀏覽,"10
人份","時間

5
分鐘",main ingredients,蒜末,25g,,2021-07-19,2025-10-23 22:26:56.567367
385713,湖南剁椒diy,潔西卡的家常美味,178,https://icook.tw/recipes/385713,5.6萬瀏覽,"10
人份","時間

5
分鐘",main ingredients,鹽2小匙,10g,,2021-07-19,2025-10-23 22:26:56.567367
385713,湖南剁椒diy,潔西卡的家常美味,178,https://icook.tw/recipes/385713,5.6萬瀏覽,"10
人份","時間

5
分鐘",main ingredients,米酒1大匙,15ml,,2021-07-19,2025-10-23 22:26:56.567367
390470,蔥鹽醬,戒空-火候熬出珍味,261,https://icook.tw/recipes/390470,5.9萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,青蔥,2根,,2021-08-20,2025-10-23 22:26:57.005390
390470,蔥鹽醬,戒空-火候熬出珍味,261,https://icook.tw/recipes/390470,5.9萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,台鹽高級碘鹽,1T (量匙),,2021-08-20,2025-10-23 22:26:57.005390
390470,蔥鹽醬,戒空-火候熬出珍味,261,https://icook.tw/recipes/390470,5.9萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,橄欖油(沙拉油),3T (量匙),,2021-08-20,2025-10-23 22:26:57.005390
390470,蔥鹽醬,戒空-火候熬出珍味,261,https://icook.tw/recipes/390470,5.9萬瀏覽,"4
人份","時間

5
分鐘",main ingredients,香油,1t (量匙),,2021-08-20,2025-10-23 22:26:57.005390
393542,百香果果醬,Claire尖寶媽幸福料理時光,79,https://icook.tw/recipes/393542,3.2萬瀏覽,,"時間

30
分鐘",main ingredients,百香果（去殼）,486克（15個）,,2021-09-23,2025-10-23 22:26:57.397490
393542,百香果果醬,Claire尖寶媽幸福料理時光,79,https://icook.tw/recipes/393542,3.2萬瀏覽,,"時間

30
分鐘",main ingredients,細砂糖,230克,,2021-09-23,2025-10-23 22:26:57.397490
388726,大蒜香草奶油,Stephanie Lai,45,https://icook.tw/recipes/388726,"8,150瀏覽","10
人份","時間

10
分鐘",main ingredients,含鹽奶油,200g，切塊,,2021-10-04,2025-10-23 22:26:57.832912
388726,大蒜香草奶油,Stephanie Lai,45,https://icook.tw/recipes/388726,"8,150瀏覽","10
人份","時間

10
分鐘",main ingredients,蒜泥,4瓣,,2021-10-04,2025-10-23 22:26:57.832912
388726,大蒜香草奶油,Stephanie Lai,45,https://icook.tw/recipes/388726,"8,150瀏覽","10
人份","時間

10
分鐘",main ingredients,巴西利,1 tbsp,,2021-10-04,2025-10-23 22:26:57.832912
388726,大蒜香草奶油,Stephanie Lai,45,https://icook.tw/recipes/388726,"8,150瀏覽","10
人份","時間

10
分鐘",main ingredients,百里香,0.5 tsp,,2021-10-04,2025-10-23 22:26:57.832912
388726,大蒜香草奶油,Stephanie Lai,45,https://icook.tw/recipes/388726,"8,150瀏覽","10
人份","時間

10
分鐘",main ingredients,迷迭香,<0.5 tsp,,2021-10-04,2025-10-23 22:26:57.832912
388726,大蒜香草奶油,Stephanie Lai,45,https://icook.tw/recipes/388726,"8,150瀏覽","10
人份","時間

10
分鐘",main ingredients,檸檬汁,1 tsp,,2021-10-04,2025-10-23 22:26:57.832912
388726,大蒜香草奶油,Stephanie Lai,45,https://icook.tw/recipes/388726,"8,150瀏覽","10
人份","時間

10
分鐘",main ingredients,黑胡椒,少許,,2021-10-04,2025-10-23 22:26:57.832912
395990,自製蒜多多辣椒,瑪姬,42,https://icook.tw/recipes/395990,"8,180瀏覽","4
人份","時間

45
分鐘",main ingredients,蒜頭,70顆,,2021-10-23,2025-10-23 22:26:58.161746
395990,自製蒜多多辣椒,瑪姬,42,https://icook.tw/recipes/395990,"8,180瀏覽","4
人份","時間

45
分鐘",main ingredients,辣椒,50根,,2021-10-23,2025-10-23 22:26:58.161746
