recept_id,recipe_name,author,good,recipe_url,browsing_num,people,cooking_time,recept_type,ingredients,quantity,unit,recipe_upload_date,crawl_datetime
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",main ingredients,愛文芒果切丁,一顆,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",main ingredients,黑糯米,一杯,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",main ingredients,(煮黑糯米)水,1.1杯,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",main ingredients,楓康吳羽保鮮膜,20公分,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",sauce,椰漿,一罐,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",sauce,砂糖,兩大匙,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",sauce,海鹽,兩小匙,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",sauce,玉米粉,一大匙,,2024-07-23,2025-10-23 23:10:53.059073
463170,泰式椰汁芒果糯米,Justina 賈斯汀娜,20,https://icook.tw/recipes/463170,"3,612瀏覽","3
人份","時間

90
分鐘",sauce,調玉米粉冷水,一大匙,,2024-07-23,2025-10-23 23:10:53.059073
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",main ingredients,楓康吳羽保鮮膜,1張,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",main ingredients,愛文芒果,2顆,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",main ingredients,椰漿,1罐,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",main ingredients,糖,50g,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",main ingredients,鹽巴,1小匙,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",main ingredients,芭蕉葉,2小片,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",main ingredients,糯米,1杯,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",sauce,玉米粉,1大匙,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",sauce,耶漿,50毫升,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",sauce,糖,15克,,2024-07-27,2025-10-23 23:10:54.486309
463932,泰式芒果糯米捲｜楓康吳羽保鮮膜,療癒食堂｜治癒人心的美食ꪔ̤̫,33,https://icook.tw/recipes/463932,"4,058瀏覽","4
人份","時間

30
分鐘",sauce,鹽,1小匙,,2024-07-27,2025-10-23 23:10:54.486309
473251,泰式椒麻雞,灶頭鑊尾,72,https://icook.tw/recipes/473251,1.1萬瀏覽,"4
人份","時間

30
分鐘",main ingredients,去骨雞腿肉,2片/420g,,2025-02-16,2025-10-23 23:10:55.365948
473251,泰式椒麻雞,灶頭鑊尾,72,https://icook.tw/recipes/473251,1.1萬瀏覽,"4
人份","時間

30
分鐘",main ingredients,高麗菜(刨絲),100g,,2025-02-16,2025-10-23 23:10:55.365948
473251,泰式椒麻雞,灶頭鑊尾,72,https://icook.tw/recipes/473251,1.1萬瀏覽,"4
人份","時間

30
分鐘",main ingredients,香菜,點綴,,2025-02-16,2025-10-23 23:10:55.365948
473251,泰式椒麻雞,灶頭鑊尾,72,https://icook.tw/recipes/473251,1.1萬瀏覽,"4
人份","時間

30
分鐘",main ingredients,白芝麻,點綴,,2025-02-16,2025-10-23 23:10:55.365948
473251,泰式椒麻雞,灶頭鑊尾,72,https://icook.tw/recipes/473251,1.1萬瀏覽,"4
人份","時間

30
分鐘",sauce,酥漿粉,40g,,2025-02-16,2025-10-23 23:10:55.365948
473251,泰式椒麻雞,灶頭鑊尾,72,https://icook.tw/recipes/473251,1.1萬瀏覽,"4
人份","時間

30
分鐘",sauce,冰水,30g,,2025-02-16,2025-10-23 23:10:55.365948
473253,韓式奶油蜂蜜炸雞,灶頭鑊尾,32,https://icook.tw/recipes/473253,"5,862瀏覽","4
人份","時間

30
分鐘",main ingredients,去骨雞腿肉,2片/420g,,2025-02-16,2025-10-23 23:10:55.950284
473253,韓式奶油蜂蜜炸雞,灶頭鑊尾,32,https://icook.tw/recipes/473253,"5,862瀏覽","4
人份","時間

30
分鐘",main ingredients,蒜碎,點綴,,2025-02-16,2025-10-23 23:10:55.950284
473253,韓式奶油蜂蜜炸雞,灶頭鑊尾,32,https://icook.tw/recipes/473253,"5,862瀏覽","4
人份","時間

30
分鐘",main ingredients,白芝麻,點綴,,2025-02-16,2025-10-23 23:10:55.950284
473253,韓式奶油蜂蜜炸雞,灶頭鑊尾,32,https://icook.tw/recipes/473253,"5,862瀏覽","4
人份","時間

30
分鐘",main ingredients,檸檬片,點綴,,2025-02-16,2025-10-23 23:10:55.950284
473253,韓式奶油蜂蜜炸雞,灶頭鑊尾,32,https://icook.tw/recipes/473253,"5,862瀏覽","4
人份","時間

30
分鐘",sauce,無鹽奶油,4大匙,,2025-02-16,2025-10-23 23:10:55.950284
473253,韓式奶油蜂蜜炸雞,灶頭鑊尾,32,https://icook.tw/recipes/473253,"5,862瀏覽","4
人份","時間

30
分鐘",sauce,蒜碎,2大匙,,2025-02-16,2025-10-23 23:10:55.950284
473253,韓式奶油蜂蜜炸雞,灶頭鑊尾,32,https://icook.tw/recipes/473253,"5,862瀏覽","4
人份","時間

30
分鐘",sauce,醬油,2大匙,,2025-02-16,2025-10-23 23:10:55.950284
