recept_id,recipe_name,author,good,recipe_url,browsing_num,people,cooking_time,recept_type,ingredients,quantity,unit,recipe_upload_date,crawl_datetime
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,中筋麵粉,300克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,砂糖,30克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,鹽,3克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,酵母粉,3克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,牛奶,145克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,奶粉,30克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,無鹽奶油,30克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,蛋,1顆,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,紅豆餡,300克,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,麻糬,少許,,2025-10-17,2025-10-23 21:29:30.188790
482992,【紅豆麻糬麵包】日本KNEADER發酵箱,KAWAYAMA川山企業(股),2,https://icook.tw/recipes/482992,"5,745瀏覽",,,main ingredients,黑芝麻,少許,,2025-10-17,2025-10-23 21:29:30.188790
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,美國稻米,100克,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,絞肉,150克,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,米酒,1大匙,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,鹽巴,0.25小匙,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,蠔油,1大匙,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,五香粉,0.25小匙,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,香油,1茶匙,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,太白粉,1大匙,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,白胡椒粉,1茶匙,,2025-10-17,2025-10-23 21:29:31.197615
482814,美國稻米｜珍珠丸子,瑞塔的廚房日記,3,https://icook.tw/recipes/482814,"8,285瀏覽",,,main ingredients,薑末,1小匙,,2025-10-17,2025-10-23 21:29:31.197615
482965,摺疊飯糰  (簡單早餐懶人包),Amy's Kitchen,11,https://icook.tw/recipes/482965,1.1萬瀏覽,"2
人份","時間

10
分鐘",main ingredients,美國茉莉香米,200克,,2025-10-17,2025-10-23 21:29:32.029747
482965,摺疊飯糰  (簡單早餐懶人包),Amy's Kitchen,11,https://icook.tw/recipes/482965,1.1萬瀏覽,"2
人份","時間

10
分鐘",main ingredients,海苔,4張,,2025-10-17,2025-10-23 21:29:32.029747
482965,摺疊飯糰  (簡單早餐懶人包),Amy's Kitchen,11,https://icook.tw/recipes/482965,1.1萬瀏覽,"2
人份","時間

10
分鐘",main ingredients,黑芝麻,1/3小匙,,2025-10-17,2025-10-23 21:29:32.029747
482965,摺疊飯糰  (簡單早餐懶人包),Amy's Kitchen,11,https://icook.tw/recipes/482965,1.1萬瀏覽,"2
人份","時間

10
分鐘",main ingredients,雞蛋,4顆,,2025-10-17,2025-10-23 21:29:32.029747
482965,摺疊飯糰  (簡單早餐懶人包),Amy's Kitchen,11,https://icook.tw/recipes/482965,1.1萬瀏覽,"2
人份","時間

10
分鐘",main ingredients,滷牛腱心,1個/條,,2025-10-17,2025-10-23 21:29:32.029747
482965,摺疊飯糰  (簡單早餐懶人包),Amy's Kitchen,11,https://icook.tw/recipes/482965,1.1萬瀏覽,"2
人份","時間

10
分鐘",main ingredients,秋葵,5根,,2025-10-17,2025-10-23 21:29:32.029747
482965,摺疊飯糰  (簡單早餐懶人包),Amy's Kitchen,11,https://icook.tw/recipes/482965,1.1萬瀏覽,"2
人份","時間

10
分鐘",main ingredients,油,2小匙,,2025-10-17,2025-10-23 21:29:32.029747
482949,涼拌小黃瓜佐海帶芽,燕子的料理時光,6,https://icook.tw/recipes/482949,1.1萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,小黃瓜,3條,,2025-10-18,2025-10-23 21:29:32.781787
482949,涼拌小黃瓜佐海帶芽,燕子的料理時光,6,https://icook.tw/recipes/482949,1.1萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,海帶芽,1把,,2025-10-18,2025-10-23 21:29:32.781787
482949,涼拌小黃瓜佐海帶芽,燕子的料理時光,6,https://icook.tw/recipes/482949,1.1萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,飲用水,適量,,2025-10-18,2025-10-23 21:29:32.781787
482949,涼拌小黃瓜佐海帶芽,燕子的料理時光,6,https://icook.tw/recipes/482949,1.1萬瀏覽,"4
人份","時間

10
分鐘",main ingredients,砂糖,1茶匙,,2025-10-18,2025-10-23 21:29:32.781787
