ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
金針菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,金針菇,金針菇
絲瓜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,絲瓜,絲瓜
薑絲,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,薑絲,薑
蒜末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蒜末,蒜
鹽,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,鹽,鹽
胡椒粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,胡椒粉,胡椒
米酒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,米酒,米酒
熱水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,熱水,水
中筋麵粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,中筋麵粉,麵粉
細糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,細糖,糖
酵母粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,酵母粉,酵母
泡打粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,泡打粉,泡打粉
水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,水,水
太白粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,太白粉,太白粉
白砂糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白砂糖,糖
沙拉油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,沙拉油,食用油
熟太白粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,熟太白粉,太白粉
滾水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,滾水,水
蓮藕,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蓮藕,蓮藕
辣椒絲,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣椒絲,辣椒
細砂糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,細砂糖,糖
白醋,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白醋,白醋
香油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香油,芝麻油
板豆腐,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,板豆腐,豆腐
大白菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,大白菜,大白菜
荸薺,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,荸薺,荸薺
薑,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,薑,薑
香菇末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香菇末,香菇
芹菜末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,芹菜末,芹菜
筊白筍末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,筊白筍末,筊白筍
麵包粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,麵包粉,麵包粉
