recept_id,recipe_source,recept_type,ingredients,quantity,ins_timestamp,upd_timestamp,unit_name,unit_number,Normalized_Weight_g
484616,icook,main ingredients,高麗菜,250克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,250.0,1.0
484616,icook,main ingredients,魚板,2片,2025-11-26 10:13:34,2025-11-26 10:13:34,片,2.0,25.0
484616,icook,main ingredients,蒜蓉,1大匙,2025-11-26 10:13:34,2025-11-26 10:13:34,大匙,1.0,15.0
484616,icook,main ingredients,辣椒,1根,2025-11-26 10:13:34,2025-11-26 10:13:34,根,1.0,10.0
484616,icook,main ingredients,鹽,1大匙,2025-11-26 10:13:34,2025-11-26 10:13:34,大匙,1.0,15.0
484616,icook,main ingredients,橄欖油,1大匙,2025-11-26 10:13:34,2025-11-26 10:13:34,大匙,1.0,15.0
484609,icook,main ingredients,芋頭,300克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,300.0,1.0
484609,icook,main ingredients,溫開水,200克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,200.0,1.0
484609,icook,main ingredients,糖,40克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,40.0,1.0
484609,icook,main ingredients,地瓜粉,150克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,150.0,1.0
484609,icook,main ingredients,橄欖油,少許,2025-11-26 10:13:34,2025-11-26 10:13:34,少許,1.0,0.5
484651,icook,sauce,軟法,5克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,5.0,1.0
484651,icook,sauce,高筋面粉,255克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,255.0,1.0
484651,icook,sauce,低筋麵粉,45克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,45.0,1.0
484651,icook,sauce,細砂糖,8克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,8.0,1.0
484651,icook,sauce,鹽巴,6克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,6.0,1.0
484651,icook,sauce,無鹽奶油,15克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,15.0,1.0
484651,icook,sauce,水,150克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,150.0,1.0
484651,icook,sauce,冰塊,37克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,37.0,1.0
484651,icook,sauce,高糖酵母,3克,2025-11-26 10:13:34,2025-11-26 10:13:34,g,3.0,1.0
