recept_id,recipe_source,recept_type,ingredients,quantity,ins_timestamp,upd_timestamp,unit_name,unit_number
481974,icook,main ingredients,美國稻米(南方中粒米),1.5米杯,2025-11-26 21:10:25,2025-11-26 21:10:25,米杯,1.5
481974,icook,main ingredients,冷水,1.5米杯+2大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,米杯,1.5
481974,icook,main ingredients,蝦仁,200g,2025-11-26 21:10:25,2025-11-26 21:10:25,g,200.0
481974,icook,main ingredients,櫛瓜,1/2條(100g),2025-11-26 21:10:25,2025-11-26 21:10:25,條,0.5
481974,icook,main ingredients,青蔥,2根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,2.0
481974,icook,main ingredients,食用油,1大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,1.0
481974,icook,main ingredients,胡麻油,1大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,1.0
481974,icook,main ingredients,蝦仁口味拌料,3大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,3.0
481974,icook,main ingredients,海苔片,1片,2025-11-26 21:10:25,2025-11-26 21:10:25,片,1.0
481974,icook,sauce,鹽,1／6茶匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,1.0
481974,icook,sauce,米酒,1茶匙,2025-11-26 21:10:25,2025-11-26 21:10:25,茶匙,1.0
481974,icook,sauce,黑胡椒粒,1/10茶匙,2025-11-26 21:10:25,2025-11-26 21:10:25,茶匙,0.1
484256,icook,main ingredients,九孔鮑,10顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,10.0
484256,icook,main ingredients,蒜,4瓣,2025-11-26 21:10:25,2025-11-26 21:10:25,瓣,4.0
484256,icook,main ingredients,柚肉和風醬,2大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,2.0
484255,icook,main ingredients,高筋麵粉,250克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,250.0
484255,icook,main ingredients,南瓜,100克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,100.0
484255,icook,main ingredients,糖,10克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,10.0
484255,icook,main ingredients,鹽,3克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,3.0
484255,icook,main ingredients,無鹽牛油,10克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,10.0
484255,icook,main ingredients,水,170毫升,2025-11-26 21:10:25,2025-11-26 21:10:25,cc,170.0
484255,icook,main ingredients,酵母粉,4克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,4.0
484255,icook,main ingredients,奶粉,10克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,10.0
484262,icook,main ingredients,雞爪,2盒,2025-11-26 21:10:25,2025-11-26 21:10:25,盒,2.0
484262,icook,main ingredients,醬油,200,2025-11-26 21:10:25,2025-11-26 21:10:25,ml,200.0
484262,icook,main ingredients,十全180天完熟米醋,200,2025-11-26 21:10:25,2025-11-26 21:10:25,ml,200.0
484262,icook,main ingredients,辣椒,3顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,3.0
484262,icook,main ingredients,大蒜,半個,2025-11-26 21:10:25,2025-11-26 21:10:25,個,0.5
484262,icook,main ingredients,白糖,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0
484262,icook,main ingredients,檸檬,1個,2025-11-26 21:10:25,2025-11-26 21:10:25,個,1.0
484262,icook,main ingredients,蔥,1根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,1.0
484262,icook,main ingredients,生姜,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0
484262,icook,main ingredients,香菜,1根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,1.0
483638,icook,main ingredients,青花菜,整株,2025-11-26 21:10:25,2025-11-26 21:10:25,整株,1.0
483638,icook,main ingredients,培根,2片,2025-11-26 21:10:25,2025-11-26 21:10:25,片,2.0
483638,icook,main ingredients,小磨坊金黃蒜油,2小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,2.0
483638,icook,main ingredients,乳酪絲,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0
483638,icook,main ingredients,起司粉（可無）,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0
484263,icook,main ingredients,常溫蛋,2顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,2.0
484263,icook,main ingredients,熱開水,220克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,220.0
484263,icook,main ingredients,烹大師鰹魚粉,2克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,2.0
484263,icook,main ingredients,塩,1/4t,2025-11-26 21:10:25,2025-11-26 21:10:25,t,0.25
484263,icook,main ingredients,味醂,1/2t,2025-11-26 21:10:25,2025-11-26 21:10:25,t,0.5
484263,icook,main ingredients,小熊學校陶瓷保鮮碗,1個,2025-11-26 21:10:25,2025-11-26 21:10:25,個,1.0
484260,icook,main ingredients,電鍋,1,2025-11-26 21:10:25,2025-11-26 21:10:25,個,1.0
484268,icook,main ingredients,高麗菜苗,7顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,7.0
484268,icook,main ingredients,蒜頭🧄,7瓣,2025-11-26 21:10:25,2025-11-26 21:10:25,瓣,7.0
484268,icook,main ingredients,紅蘿蔔🥕,1根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,1.0
484268,icook,main ingredients,味素,1小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,1.0
484267,icook,main ingredients,冷凍水餃,16顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,16.0
484267,icook,main ingredients,熱水,1公升,2025-11-26 21:10:25,2025-11-26 21:10:25,公升,1.0
484247,icook,main ingredients,牛絞肉,200克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,200.0
484247,icook,main ingredients,番茄罐頭,1罐,2025-11-26 21:10:25,2025-11-26 21:10:25,罐,1.0
484247,icook,main ingredients,蒜頭,5瓣,2025-11-26 21:10:25,2025-11-26 21:10:25,瓣,5.0
484247,icook,main ingredients,洋蔥,1顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,1.0
484247,icook,main ingredients,義式綜合香料,2小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,2.0
