recept_id,recipe_source,recept_type,ingredients,quantity,ins_timestamp,upd_timestamp,unit_name,unit_number,Normalized_Weight_g
481974,icook,main ingredients,美國稻米(南方中粒米),1.5米杯,2025-11-26 21:10:25,2025-11-26 21:10:25,米杯,1.5,180.0
481974,icook,main ingredients,冷水,1.5米杯+2大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,米杯,1.5,180.0
481974,icook,main ingredients,蝦仁,200g,2025-11-26 21:10:25,2025-11-26 21:10:25,g,200.0,1.0
481974,icook,main ingredients,櫛瓜,1/2條(100g),2025-11-26 21:10:25,2025-11-26 21:10:25,條,0.5,800.0
481974,icook,main ingredients,青蔥,2根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,2.0,15.0
481974,icook,main ingredients,食用油,1大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,1.0,15.0
481974,icook,main ingredients,胡麻油,1大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,1.0,15.0
481974,icook,main ingredients,蝦仁口味拌料,3大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,3.0,15.0
481974,icook,main ingredients,海苔片,1片,2025-11-26 21:10:25,2025-11-26 21:10:25,片,1.0,3.0
481974,icook,sauce,鹽,1／6茶匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,1.0,5.0
481974,icook,sauce,米酒,1茶匙,2025-11-26 21:10:25,2025-11-26 21:10:25,茶匙,1.0,5.0
481974,icook,sauce,黑胡椒粒,1/10茶匙,2025-11-26 21:10:25,2025-11-26 21:10:25,茶匙,0.1,5.0
484256,icook,main ingredients,九孔鮑,10顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,10.0,40.0
484256,icook,main ingredients,蒜,4瓣,2025-11-26 21:10:25,2025-11-26 21:10:25,瓣,4.0,5.0
484256,icook,main ingredients,柚肉和風醬,2大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,2.0,15.0
484255,icook,main ingredients,高筋麵粉,250克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,250.0,1.0
484255,icook,main ingredients,南瓜,100克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,100.0,1.0
484255,icook,main ingredients,糖,10克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,10.0,1.0
484255,icook,main ingredients,鹽,3克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,3.0,1.0
484255,icook,main ingredients,無鹽牛油,10克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,10.0,1.0
484255,icook,main ingredients,水,170毫升,2025-11-26 21:10:25,2025-11-26 21:10:25,cc,170.0,1.0
484255,icook,main ingredients,酵母粉,4克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,4.0,1.0
484255,icook,main ingredients,奶粉,10克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,10.0,1.0
484262,icook,main ingredients,雞爪,2盒,2025-11-26 21:10:25,2025-11-26 21:10:25,盒,2.0,100.0
484262,icook,main ingredients,醬油,200,2025-11-26 21:10:25,2025-11-26 21:10:25,ml,200.0,1.0
484262,icook,main ingredients,十全180天完熟米醋,200,2025-11-26 21:10:25,2025-11-26 21:10:25,ml,200.0,1.0
484262,icook,main ingredients,辣椒,3顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,3.0,10.0
484262,icook,main ingredients,大蒜,半個,2025-11-26 21:10:25,2025-11-26 21:10:25,個,0.5,50.0
484262,icook,main ingredients,白糖,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0,1.0
484262,icook,main ingredients,檸檬,1個,2025-11-26 21:10:25,2025-11-26 21:10:25,個,1.0,50.0
484262,icook,main ingredients,蔥,1根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,1.0,15.0
484262,icook,main ingredients,生姜,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0,1.0
484262,icook,main ingredients,香菜,1根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,1.0,3.0
483638,icook,main ingredients,青花菜,整株,2025-11-26 21:10:25,2025-11-26 21:10:25,整株,1.0,500.0
483638,icook,main ingredients,培根,2片,2025-11-26 21:10:25,2025-11-26 21:10:25,片,2.0,20.0
483638,icook,main ingredients,小磨坊金黃蒜油,2小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,2.0,5.0
483638,icook,main ingredients,乳酪絲,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0,1.0
483638,icook,main ingredients,起司粉（可無）,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0,1.0
484263,icook,main ingredients,常溫蛋,2顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,2.0,50.0
484263,icook,main ingredients,熱開水,220克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,220.0,1.0
484263,icook,main ingredients,烹大師鰹魚粉,2克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,2.0,1.0
484263,icook,main ingredients,塩,1/4t,2025-11-26 21:10:25,2025-11-26 21:10:25,t,0.25,5.0
484263,icook,main ingredients,味醂,1/2t,2025-11-26 21:10:25,2025-11-26 21:10:25,t,0.5,5.0
484263,icook,main ingredients,小熊學校陶瓷保鮮碗,1個,2025-11-26 21:10:25,2025-11-26 21:10:25,個,1.0,100.0
484260,icook,main ingredients,電鍋,1,2025-11-26 21:10:25,2025-11-26 21:10:25,個,1.0,100.0
484268,icook,main ingredients,高麗菜苗,7顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,7.0,5.0
484268,icook,main ingredients,蒜頭🧄,7瓣,2025-11-26 21:10:25,2025-11-26 21:10:25,瓣,7.0,5.0
484268,icook,main ingredients,紅蘿蔔🥕,1根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,1.0,100.0
484268,icook,main ingredients,味素,1小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,1.0,5.0
484267,icook,main ingredients,冷凍水餃,16顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,16.0,20.0
484267,icook,main ingredients,熱水,1公升,2025-11-26 21:10:25,2025-11-26 21:10:25,公升,1.0,1000.0
484247,icook,main ingredients,牛絞肉,200克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,200.0,1.0
484247,icook,main ingredients,番茄罐頭,1罐,2025-11-26 21:10:25,2025-11-26 21:10:25,罐,1.0,100.0
484247,icook,main ingredients,蒜頭,5瓣,2025-11-26 21:10:25,2025-11-26 21:10:25,瓣,5.0,5.0
484247,icook,main ingredients,洋蔥,1顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,1.0,180.0
484247,icook,main ingredients,義式綜合香料,2小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,2.0,5.0
484247,icook,main ingredients,胡蘿蔔,0.5根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,0.5,100.0
484261,icook,main ingredients,大燕麥片,150克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,150.0,1.0
484261,icook,main ingredients,核桃,60克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,60.0,1.0
484261,icook,main ingredients,無糖可可粉,10克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,10.0,1.0
484261,icook,main ingredients,52%可可豆,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0,1.0
484261,icook,sauce,橄欖油,25克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,25.0,1.0
484261,icook,sauce,蜂蜜,25克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,25.0,1.0
484261,icook,sauce,黑糖,20克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,20.0,1.0
484261,icook,sauce,海鹽,0.5克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,0.5,1.0
484273,icook,main ingredients,全聯土雞切塊,一盒,2025-11-26 21:10:25,2025-11-26 21:10:25,盒,1.0,100.0
484273,icook,main ingredients,高麗菜（小）,半顆,2025-11-26 21:10:25,2025-11-26 21:10:25,顆,0.5,500.0
484273,icook,main ingredients,薑片,5片,2025-11-26 21:10:25,2025-11-26 21:10:25,片,5.0,3.0
484273,icook,main ingredients,杏鮑菇,2根,2025-11-26 21:10:25,2025-11-26 21:10:25,根,2.0,75.0
484273,icook,main ingredients,枸杞,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0,1.0
484273,icook,main ingredients,麻油,適量,2025-11-26 21:10:25,2025-11-26 21:10:25,適量,1.0,1.0
484273,icook,main ingredients,米酒,半瓶,2025-11-26 21:10:25,2025-11-26 21:10:25,瓶,0.5,100.0
484272,icook,main ingredients,美生菜,6大片,2025-11-26 21:10:25,2025-11-26 21:10:25,大片,6.0,50.0
484272,icook,main ingredients,小黃瓜切絲,1條,2025-11-26 21:10:25,2025-11-26 21:10:25,條,1.0,100.0
484272,icook,main ingredients,紅蘿蔔切絲,半條,2025-11-26 21:10:25,2025-11-26 21:10:25,條,0.5,100.0
484272,icook,main ingredients,蝦子,8尾,2025-11-26 21:10:25,2025-11-26 21:10:25,尾,8.0,20.0
484272,icook,main ingredients,十全180天完熟米醋,2大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,2.0,15.0
484272,icook,main ingredients,香菜末,1小株,2025-11-26 21:10:25,2025-11-26 21:10:25,小株,1.0,5.0
484272,icook,main ingredients,蒜末,1小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,1.0,5.0
484272,icook,main ingredients,泰式魚露,2大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,2.0,15.0
484272,icook,main ingredients,食用水,2大匙,2025-11-26 21:10:25,2025-11-26 21:10:25,大匙,2.0,15.0
481695,icook,main ingredients,蒜頭,4瓣,2025-11-26 21:10:25,2025-11-26 21:10:25,瓣,4.0,5.0
481695,icook,main ingredients,香菇,6-7朵,2025-11-26 21:10:25,2025-11-26 21:10:25,朵,6.5,5.0
481695,icook,main ingredients,豌豆莢,200公克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,200.0,1.0
481695,icook,main ingredients,鹽巴,1/2小匙,2025-11-26 21:10:25,2025-11-26 21:10:25,小匙,0.5,5.0
481695,icook,main ingredients,米酒,1-2ml,2025-11-26 21:10:25,2025-11-26 21:10:25,cc,1.5,1.0
484225,icook,main ingredients,大燕麥片,70克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,70.0,1.0
484225,icook,main ingredients,無鹽奶油,4克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,4.0,1.0
484225,icook,main ingredients,牛奶,5克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,5.0,1.0
484225,icook,main ingredients,黑糖,4克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,4.0,1.0
484225,icook,main ingredients,砂糖,7克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,7.0,1.0
484225,icook,main ingredients,鹽,0.3克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,0.3,1.0
484225,icook,main ingredients,蛋,15克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,15.0,1.0
484225,icook,main ingredients,黑芝麻粉,15克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,15.0,1.0
484225,icook,main ingredients,奶粉,5克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,5.0,1.0
484225,icook,main ingredients,泡打粉,0.5克,2025-11-26 21:10:25,2025-11-26 21:10:25,g,0.5,1.0
484242,icook,main ingredients,白玉菜頭,1條,2025-11-26 21:10:25,2025-11-26 21:10:25,條,1.0,500.0
484242,icook,main ingredients,清丸,半斤,2025-11-26 21:10:25,2025-11-26 21:10:25,斤,0.5,600.0
484242,icook,main ingredients,西北火鍋餃-魚餃,1盒,2025-11-26 21:10:25,2025-11-26 21:10:25,盒,1.0,15.0
