ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
豬五花肉切條狀,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,豬五花肉切條狀,豬肉
Cream,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,Cream,鮮奶油
Cheese,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,Cheese,起司
細砂糖,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,細砂糖,糖
雞蛋,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,雞蛋,雞蛋
動物性鮮奶油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,動物性鮮奶油,鮮奶油
低筋麵粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,低筋麵粉,麵粉
白芝麻,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,白芝麻,芝麻
中筋麵粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,中筋麵粉,麵粉
糖,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,糖,糖
水,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,水,水
速發酵母,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,速發酵母,酵母
沙拉油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,沙拉油,食用油
華盛頓富士蘋果,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,華盛頓富士蘋果,蘋果
鮮蝦,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鮮蝦,蝦
櫛瓜,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,櫛瓜,櫛瓜
小黃瓜,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,小黃瓜,小黃瓜
蒜瓣,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蒜瓣,大蒜
食用油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,食用油,食用油
鹽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鹽,鹽
黑胡椒粒,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,黑胡椒粒,胡椒粒
黃豆芽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,黃豆芽,黃豆芽
紅蘿蔔絲,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,紅蘿蔔絲,紅蘿蔔
煙燻豆包,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,煙燻豆包,豆包
烤肉醬,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,烤肉醬,烤肉醬
雞粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,雞粉,雞粉
鹽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鹽,鹽
高筋麵粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,高筋麵粉,麵粉
鹽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鹽,鹽
糖,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,糖,糖
速發乾酵母,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,速發乾酵母,酵母粉
水,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,水,水
土雞腿,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,土雞腿,雞腿
芥菜,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,芥菜,芥菜
薑片,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,薑片,薑
蛤蜊,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蛤蜊,蛤蜊
番茄,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,番茄,番茄
雞蛋,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,雞蛋,雞蛋
亨氏番茄醬,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,亨氏番茄醬,番茄醬
麥當勞糖醋醬,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,麥當勞糖醋醬,糖醋醬
冷凍菠菜,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,冷凍菠菜,菠菜
胡蘿蔔,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,胡蘿蔔,紅蘿蔔
秀珍菇,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,秀珍菇,秀珍菇
洋蔥,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,洋蔥,洋蔥
蒜末,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蒜末,蒜
韓式芝麻油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,韓式芝麻油,食用油
熟白芝麻,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,熟白芝麻,芝麻
冬粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,冬粉,冬粉
食用油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,食用油,食用油
醬油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,醬油,醬油
老抽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,老抽,醬油
福山萵苣,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,福山萵苣,萵苣
白蘿蔔,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,白蘿蔔,白蘿蔔
火腿肉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,火腿肉,火腿
洋蔥,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,洋蔥,洋蔥
小黃瓜,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,小黃瓜,小黃瓜
胡蘿蔔,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,胡蘿蔔,紅蘿蔔
小番茄,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,小番茄,番茄
水煮蛋,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,水煮蛋,雞蛋
橄欖油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,橄欖油,橄欖油
紅酒醋,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,紅酒醋,醋
砂糖,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,砂糖,糖
蒜末,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蒜末,蒜
食鹽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,食鹽,鹽
黑胡椒粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,黑胡椒粉,胡椒粉
味精,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,味精,味精
義式綜合香料,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,義式綜合香料,香料
豬里肌肉片(薄),2025-11-23 04:04:17,2025-11-23 04:04:17,pending,豬里肌肉片,豬肉
筊白筍,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,筊白筍,筊白筍
紅蘿蔔,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,紅蘿蔔,紅蘿蔔
青蔥,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,青蔥,蔥
蒜頭,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蒜頭,蒜
辣椒(可略),2025-11-23 04:04:17,2025-11-23 04:04:17,pending,辣椒,辣椒
食用油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,食用油,食用油
香油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,香油,芝麻油
十全120天完熟烏醋,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,十全120天完熟烏醋,烏醋
醬油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,醬油,醬油
素蠔油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,素蠔油,蠔油
糖,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,糖,糖
水,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,水,水
過貓,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,過貓,過貓
香菇,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,香菇,香菇
小卷,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,小卷,小卷
飲用水,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,飲用水,水
蒜頭油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蒜頭油,食用油
鮮味炒手,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鮮味炒手,鮮味炒手
