recept_id,recipe_source,recept_type,ingredients,quantity,ins_timestamp,upd_timestamp,unit_name,unit_number
451893,icook,main ingredients,有機白蘿蔔,600g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,600.0
451893,icook,main ingredients,有機在來米,3杯(量米杯),2025-11-27 16:13:21,2025-11-27 16:13:21,杯,3.0
451893,icook,main ingredients,有機乾香菇,5朵(中大菇),2025-11-27 16:13:21,2025-11-27 16:13:21,朵,5.0
451893,icook,main ingredients,有機素肉粒,50g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,50.0
451893,icook,main ingredients,有機白胡椒粉,適量,2025-11-27 16:13:21,2025-11-27 16:13:21,適量,1.0
451893,icook,main ingredients,天然海鹽,適量,2025-11-27 16:13:21,2025-11-27 16:13:21,適量,1.0
451893,icook,main ingredients,冷開水,1000cc,2025-11-27 16:13:21,2025-11-27 16:13:21,cc,1000.0
451893,icook,main ingredients,有機白芝麻油,適量,2025-11-27 16:13:21,2025-11-27 16:13:21,適量,1.0
451893,icook,main ingredients,有機葵花油,適量,2025-11-27 16:13:21,2025-11-27 16:13:21,適量,1.0
474464,icook,main ingredients,冰牛奶,288克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,288.0
474464,icook,main ingredients,上白糖,52克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,52.0
474464,icook,main ingredients,速發酵母,6克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,6.0
474464,icook,main ingredients,中筋麵粉,600克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,600.0
474464,icook,main ingredients,玄米油,12克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,12.0
474464,icook,main ingredients,天然色粉,少許,2025-11-27 16:13:21,2025-11-27 16:13:21,少許,1.0
474969,icook,main ingredients,冰牛奶,250克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,250.0
474969,icook,main ingredients,上白糖,44克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,44.0
474969,icook,main ingredients,速發酵母,5克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,5.0
474969,icook,main ingredients,中筋麵粉,500克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,500.0
474969,icook,main ingredients,玄米油,10克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,10.0
474969,icook,sauce,無鹽奶油,80克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,80.0
474969,icook,sauce,黑芝麻粉,100克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,100.0
474969,icook,sauce,糖粉,55克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,55.0
475118,icook,main ingredients,冰牛奶,260克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,260.0
475118,icook,main ingredients,速發酵母,5克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,5.0
475118,icook,main ingredients,中筋麵粉,500克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,500.0
475118,icook,main ingredients,黑糖粉,44克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,44.0
475118,icook,main ingredients,玄米油,10克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,10.0
475118,icook,main ingredients,市售冷凍黑糖麻吉,數顆,2025-11-27 16:13:21,2025-11-27 16:13:21,數顆,3.0
475109,icook,main ingredients,冷水,140克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,140.0
475109,icook,main ingredients,酵母粉,3克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,3.0
475109,icook,main ingredients,棕櫚糖或糖,5克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,5.0
475109,icook,main ingredients,中筋麵粉,200克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,200.0
475109,icook,main ingredients,蔥,5根,2025-11-27 16:13:21,2025-11-27 16:13:21,根,5.0
475109,icook,main ingredients,熟芝麻,10克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,10.0
475109,icook,sauce,胡椒鹽,15克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,15.0
475109,icook,sauce,五香粉,少許,2025-11-27 16:13:21,2025-11-27 16:13:21,少許,1.0
475316,icook,main ingredients,冰牛奶,200克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,200.0
475316,icook,main ingredients,上白糖,44克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,44.0
475316,icook,main ingredients,速發酵母,4克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,4.0
475316,icook,main ingredients,中筋麵粉,400克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,400.0
475316,icook,main ingredients,玄米油,10克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,10.0
479294,icook,main ingredients,紅豆及薏仁,適量,2025-11-27 16:13:21,2025-11-27 16:13:21,適量,1.0
479294,icook,main ingredients,水及砂糖,適量,2025-11-27 16:13:21,2025-11-27 16:13:21,適量,1.0
36837,icook,main ingredients,黑芝麻,300g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,300.0
36837,icook,main ingredients,白芝麻,75g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,75.0
36837,icook,main ingredients,砂糖,120g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,120.0
36837,icook,main ingredients,麥芽糖（水麥芽）,180g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,180.0
36837,icook,main ingredients,水,50g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,50.0
36837,icook,main ingredients,鹽,0.5g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,0.5
36837,icook,main ingredients,無鹽奶油,10g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,10.0
144163,icook,main ingredients,蛋,2顆,2025-11-27 16:13:21,2025-11-27 16:13:21,顆,2.0
144163,icook,main ingredients,糖粉,45g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,45.0
144163,icook,main ingredients,低筋麵粉,55g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,55.0
144163,icook,main ingredients,無鹽奶油,50g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,50.0
144163,icook,main ingredients,黑芝麻粒,10g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,10.0
240713,icook,main ingredients,蜜紅豆,400公克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,400.0
240713,icook,main ingredients,糯米粉,400公克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,400.0
240713,icook,main ingredients,水,400公克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,400.0
240713,icook,main ingredients,椰糖（或其它糖）,80公克,2025-11-27 16:13:21,2025-11-27 16:13:21,g,80.0
401893,icook,sauce,中筋麵粉,300g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,300.0
401893,icook,sauce,細砂糖,25g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,25.0
401893,icook,sauce,鮮奶,160g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,160.0
401893,icook,sauce,速發酵母,3g,2025-11-27 16:13:21,2025-11-27 16:13:21,g,3.0
