ingredients,t_ingredient_name,normalized_name
地瓜,地瓜,地瓜
奶油,奶油,奶油
白砂糖,白砂糖,糖
低筋麵粉,低筋麵粉,麵粉
玉米粉,玉米粉,玉米粉
前夜的雜菜(菜豆炒芹菜),前夜的雜菜,蔬菜
雞胸肉(黑胡椒口味)-熟食,雞胸肉-熟食,雞肉
小黃瓜,小黃瓜,小黃瓜
熟白芝麻粒,熟白芝麻粒,芝麻
芝麻醬,芝麻醬,芝麻
花生醬,花生醬,花生
醬油(薄鹽),醬油,醬油
烏醋,烏醋,烏醋
糖,糖,糖
香油或麻油,香油或麻油,食用油
冷開水,冷開水,水
水蓮,水蓮,水蓮
薑片,薑片,薑
麻油,麻油,芝麻油
辣椒,辣椒,辣椒
鮮味炒手,鮮味炒手,鮮味炒手
杏鮑菇,杏鮑菇,杏鮑菇
蒜頭,蒜頭,蒜
蔥,蔥,蔥
辣椒,辣椒,辣椒
韭菜花,韭菜花,韭菜花
蛋,蛋,雞蛋
鮮味炒手,鮮味炒手,鮮味炒手
唐揚雞炸雞塊,唐揚雞炸雞塊,雞肉
洋蔥,洋蔥,洋蔥
蛋,蛋,雞蛋
白飯,白飯,米飯
醬油,醬油,醬油
味醂,味醂,味醂
米酒,米酒,米酒
鹽,鹽,鹽
水,水,水
豬五花肉片,豬五花肉片,豬肉
白醋(或檸檬汁),白醋,白醋
蒜碎或蒜泥,蒜碎或蒜泥,大蒜
醬油,醬油,醬油
烏醋,烏醋,烏醋
香油,香油,芝麻油
蒜蓉辣椒,蒜蓉辣椒,辣椒
冷開水,冷開水,水
吐司,吐司,吐司
肉乾,肉乾,豬肉
雞蛋,雞蛋,雞蛋
紫洋蔥,紫洋蔥,洋蔥
福山萵苣,福山萵苣,萵苣
鹽,鹽,鹽
美乃滋,美乃滋,美乃滋
脆筍,脆筍,筍
豬肉條,豬肉條,豬肉
蒜頭,蒜頭,蒜
辣椒,辣椒,辣椒
白胡椒粉,白胡椒粉,白胡椒粉
辣豆瓣醬,辣豆瓣醬,豆瓣醬
醬油,醬油,醬油
米酒,米酒,米酒
太白粉,太白粉,太白粉
椰菜,椰菜,椰菜
蛋,蛋,雞蛋
茄汁焗豆,茄汁焗豆,豆
薄餅,薄餅,麵粉
火腿,火腿,豬肉
粟米粒,粟米粒,粟米
芝士,芝士,芝士
雜菇,雜菇,菇
雞胸肉,雞胸肉,雞肉
鹽,鹽,鹽
胡椒,胡椒,胡椒
米酒,米酒,米酒
紹興酒,紹興酒,米酒
紅蔥頭豬油,紅蔥頭豬油,食用油
黑豆醬油,黑豆醬油,黑豆
糖,糖,糖
雞高湯,雞高湯,高湯
蕃茄汁鯖魚罐頭,蕃茄汁鯖魚罐頭,鯖魚
關廟麵,關廟麵,麵
高麗菜,高麗菜,高麗菜
筊白筍,筊白筍,筊白筍
新鮮香菇,新鮮香菇,香菇
木耳,木耳,木耳
杏鮑菇,杏鮑菇,杏鮑菇
鴻喜菇,鴻喜菇,鴻喜菇
蔥,蔥,蔥
辣椒(可省略),辣椒,辣椒
胡椒粉,胡椒粉,胡椒
統一調合米粉,統一調合米粉,米粉
高麗菜,高麗菜,高麗菜
雞胸肉,雞胸肉,雞肉
紅蘿蔔,紅蘿蔔,紅蘿蔔
鴻喜菇,鴻喜菇,鴻喜菇
芹菜,芹菜,芹菜
水,水,水
調味油包,調味油包,食用油
調味粉,調味粉,調味粉
白胡椒粉,白胡椒粉,白胡椒粉
統一調合米粉,統一調合米粉,米粉
小卷,小卷,小卷
芹菜,芹菜,芹菜
老薑,老薑,薑
水,水,水
調味油包,調味油包,食用油
調味粉,調味粉,調味粉
台酒麵攤-三杯雞風味乾麵,台酒麵攤-三杯雞風味乾麵,雞肉
小卷,小卷,小卷
九層塔,九層塔,九層塔
芝麻油,芝麻油,食用油
洋蔥,洋蔥,洋蔥
蕃茄,蕃茄,番茄
青花椰菜,青花椰菜,花椰菜
蒜片,蒜片,蒜
五穀雜糧麵包,五穀雜糧麵包,穀物
南瓜,南瓜,南瓜
薑,薑,薑
新鮮鳯梨,新鮮鳯梨,鳪梨
鹹鳯梨（連汁）,鹹鳯梨,鳳梨
醃漬梅子,醃漬梅子,梅子
二砂糖,二砂糖,糖
豬燒肉片,豬燒肉片,豬肉
麵粉,麵粉,麵粉
白芝麻(裝飾用),白芝麻,芝麻
米酒,米酒,米酒
鹽,鹽,鹽
胡椒,胡椒,胡椒
蔥油餅,蔥油餅,食用油
熱狗或脆腸,熱狗或脆腸,牛肉
蔥花,蔥花,蔥
起司絲,起司絲,起司
蛋液,蛋液,雞蛋
豬肉絲（片）,豬肉絲,豬肉
洋蔥絲,洋蔥絲,洋蔥
青椒絲,青椒絲,青椒
薑（隨喜）,薑,薑
料酒（隨喜）,料酒,米
醬油,醬油,醬油
味霖（或糖）,味霖,味醂
高湯（或水）,高湯,高湯
蛋,蛋,雞蛋
熱飯,熱飯,飯
高筋麵粉,高筋麵粉,麵粉
玉米粉,玉米粉,玉米粉
冷水,冷水,水
鹽,鹽,鹽
蔥花(選擇性),蔥花,蔥
剩的九層塔,剩的九層塔,九層塔
蔥,蔥,蔥
蛋,蛋,雞蛋
玉米粒,玉米粒,玉米
沙拉油,沙拉油,食用油
鹽,鹽,鹽
鍋底桑椹粒,鍋底桑椹粒,桑椹
糖（冰糖砂糖都可以）,糖,糖
檸檬汁,檸檬汁,檸檬
檸檬皮屑,檸檬皮屑,檸檬皮
吉利丁粉,吉利丁粉,牛肉
糖（醃漬用）,糖,糖
柚子皮（壓乾水份）,柚子皮,柚子
糖（砂糖比較好融化）,糖,糖
水,水,水
果醬,果醬,水果
檸檬汁,檸檬汁,檸檬
火龍果皮,火龍果皮,火龍果
檸檬,檸檬,檸檬
二砂糖,二砂糖,糖
鹽,鹽,鹽
中筋麵粉,中筋麵粉,麵粉
溫水,溫水,水
鹽,鹽,鹽
剩下的水餃餡,剩下的水餃餡,豬肉
韭菜,韭菜,韭菜
冬粉,冬粉,冬粉
雞蛋,雞蛋,雞蛋
醬油,醬油,醬油
黑胡椒粉,黑胡椒粉,胡椒粉
魷魚,魷魚,魷魚
泡麵,泡麵,小麥
杏鮑菇,杏鮑菇,杏鮑菇
蒜,蒜,蒜
辣椒,辣椒,辣椒
蔥,蔥,蔥
九層塔,九層塔,九層塔
醬油,醬油,醬油
沙拉油,沙拉油,食用油
咖哩炒醬,咖哩炒醬,食用油
鹽,鹽,鹽
水,水,水
蘿蔔皮,蘿蔔皮,蘿蔔
蒜頭,蒜頭,蒜
鹽,鹽,鹽
豬絞肉（粗）,豬絞肉,豬肉
洋蔥,洋蔥,洋蔥
澳洲紅蘿蔔,澳洲紅蘿蔔,紅蘿蔔
雞蛋,雞蛋,雞蛋
豆腐,豆腐,豆腐
太白粉,太白粉,太白粉
南瓜皮,南瓜皮,南瓜
起司片（或乳酪絲）,起司片,起司
鮪魚罐頭,鮪魚罐頭,鮪魚
玉米粒,玉米粒,玉米
美乃滋,美乃滋,美乃滋
吐司邊,吐司邊,小麥
草莓果醬,草莓果醬,草莓醬
吃剩破碎的洋芋片,吃剩破碎的洋芋片,食用油
牛梅花炒肉,牛梅花炒肉,牛肉
薑,薑,薑
蒜,蒜,蒜
蔥,蔥,蔥
黑醋,黑醋,穀物
油,油,食用油
醬油,醬油,醬油
米酒,米酒,米酒
哈蜜瓜,哈蜜瓜,哈蜜瓜
西瓜,西瓜,西瓜
木瓜,木瓜,木瓜
檸檬,檸檬,檸檬
挖球器,挖球器,
高麗菜 中1,高麗菜 中1,高麗菜
2,2,
紅蘿蔔,紅蘿蔔,紅蘿蔔
鹽,鹽,鹽
糖,糖,糖
糯米醋,糯米醋,糯米
白醋（6大匙）,白醋,白醋
蒜瓣,蒜瓣,大蒜
辣椒,辣椒,辣椒
冷開水,冷開水,水
綠竹筍,綠竹筍,竹筍
鹽巴,鹽巴,鹽
小黃瓜,小黃瓜,小黃瓜
寬粉條,寬粉條,澱粉
胡蘿蔔,胡蘿蔔,紅蘿蔔
雞胸肉,雞胸肉,雞肉
蒜頭,蒜頭,蒜
白胡椒粉,白胡椒粉,白胡椒粉
花椒粉,花椒粉,花椒粉
香油,香油,芝麻油
鹽,鹽,鹽
香蒜粒,香蒜粒,大蒜
醬油,醬油,醬油
糖（可增減）,糖,糖
栗子南瓜,栗子南瓜,南瓜
鹽巴,鹽巴,鹽
香料: 巴西利粉或是七味粉..,香料: 巴西利粉或是七味粉..,香料
小黃瓜,小黃瓜,小黃瓜
水煮蛋,水煮蛋,雞蛋
火腿片,火腿片,火腿
毛豆仁,毛豆仁,毛豆
玉米粒,玉米粒,玉米
鹽巴,鹽巴,鹽
美乃滋,美乃滋,美乃滋
黑胡椒,黑胡椒,黑胡椒
黑豆,黑豆,黑豆
醬油,醬油,醬油
黑糖,黑糖,糖
蜂蜜,蜂蜜,蜂蜜
熟白芝麻,熟白芝麻,芝麻
二砂糖,二砂糖,糖
秋葵,秋葵,秋葵
魩仔魚,魩仔魚,魩仔魚
柴魚片,柴魚片,柴魚
金針菇,金針菇,金針菇
白麻油,白麻油,食用油
醬油,醬油,醬油
白葡萄酒,白葡萄酒,葡萄
蝦子,蝦子,蝦
青蔥,青蔥,蔥
九層塔,九層塔,九層塔
辣椒,辣椒,辣椒
蒜頭,蒜頭,蒜
米酒,米酒,米酒
醬油,醬油,醬油
鹽,鹽,鹽
鮮味炒手,鮮味炒手,鮮味炒手
胡椒粉,胡椒粉,胡椒
無鹽奶油,無鹽奶油,奶油
砂糖,砂糖,糖
奶粉,奶粉,奶粉
雞蛋,雞蛋,雞蛋
洋蔥末,洋蔥末,洋蔥
辣椒,辣椒,辣椒
香菜,香菜,香菜
泰式甜辣醬,泰式甜辣醬,辣椒
檸檬汁 或是 香檬原汁,檸檬汁 或是 香檬原汁,檸檬
開水,開水,水
綠豆,綠豆,綠豆
水,水,水
糖,糖,糖
鹽(適量),鹽,鹽
庫司庫司couscous,庫司庫司couscous,庫司庫司
鹽,鹽,鹽
熱開水,熱開水,水
番茄,番茄,番茄
小黃瓜,小黃瓜,小黃瓜
XO醬,XO醬,XO醬
無鹽奶油,無鹽奶油,奶油
蒜頭,蒜頭,蒜
鹽,鹽,鹽
巴西里（洋香草葉）,巴西里,巴西里
苦瓜,苦瓜,苦瓜
素瓜仔肉(可換醬瓜麵筋罐頭),素瓜仔肉,瓜
破布子罐頭,破布子罐頭,破布子
老薑,老薑,薑
二砂(可不加),二砂,糖
海鹽(可不加),海鹽,鹽
黑胡椒粉(可不加),黑胡椒粉,胡椒粉
甜麵醬(可不加),甜麵醬,黃豆
冷飯,冷飯,米
蝦子（可不加）,蝦子,蝦
蛋,蛋,雞蛋
蔥花,蔥花,蔥
XO醬,XO醬,XO醬
調味料,調味料,食用油
醬油,醬油,醬油
糖,糖,糖
白胡椒（起鍋前灑）,白胡椒,白胡椒
青辣椒（可不加）,青辣椒,辣椒
路邊攤雞排,路邊攤雞排,雞肉
超市新鮮生菜,超市新鮮生菜,生菜
超市味付海苔,超市味付海苔,海苔
超市泡菜,超市泡菜,白菜
餅乾（隨喜）例：樂事,餅乾例：樂事,食用油
超市乳酪絲,超市乳酪絲,乳酪
路邊攤雞排,路邊攤雞排,雞肉
雞肉,雞肉,雞肉
香菜,香菜,香菜
蒜末,蒜末,蒜
薑末,薑末,薑
糖,糖,糖
醬油,醬油,醬油
香油,香油,芝麻油
鎮江醋,鎮江醋,稻米
辣椒油,辣椒油,食用油
北極蝦（白蝦草蝦都可）,北極蝦,蝦
蒜末,蒜末,蒜
洋蔥末,洋蔥末,洋蔥
奶油,奶油,奶油
啤酒,啤酒,啤酒
黑胡椒粉,黑胡椒粉,胡椒粉
白胡椒粉,白胡椒粉,白胡椒粉
紅椒粉,紅椒粉,紅椒粉
萊姆（可不用）,萊姆,萊姆
玫瑰鹽,玫瑰鹽,鹽
普通麵粉,普通麵粉,麵粉
水,水,水
雞蛋,雞蛋,雞蛋
蔥花,蔥花,蔥
鹽巴,鹽巴,鹽
醬油膏,醬油膏,醬油膏
熱狗,熱狗,熱狗
玉米粒,玉米粒,玉米
蛋,蛋,雞蛋
鹽,鹽,鹽
雞蛋,雞蛋,雞蛋
茶葉蛋滷包,茶葉蛋滷包,香料
茶包,茶包,茶葉
醬油,醬油,醬油
冰糖,冰糖,糖
鹽,鹽,鹽
佛手瓜,佛手瓜,佛手瓜
鹿角菜,鹿角菜,鹿角菜
生薑絲,生薑絲,薑
橙皮絲,橙皮絲,橙
辣椒,辣椒,辣椒
味醂,味醂,味醂
鹽,鹽,鹽
糖,糖,糖
佛手瓜,佛手瓜,佛手瓜
黃味噌,黃味噌,大豆
味醂,味醂,味醂
砂糖,砂糖,糖
莫扎瑞拉起司,莫扎瑞拉起司,起司
番茄,番茄,番茄
市售青醬,市售青醬,起司
橄欖油(松露橄欖油更好！),橄欖油,橄欖油
酒醋,酒醋,葡萄
鱸魚,鱸魚,鱸魚
泰式甜辣醬,泰式甜辣醬,辣椒
和風醬油,和風醬油,醬油
蒜頭,蒜頭,蒜
檸檬,檸檬,檸檬
意大利麵（非條狀）,意大利麵,麵粉
小黃瓜,小黃瓜,小黃瓜
番茄,番茄,番茄
日式美乃滋,日式美乃滋,美乃滋
鹽巴,鹽巴,鹽
芥末醬,芥末醬,芥末籽
聖女小蕃茄,聖女小蕃茄,番茄
蛋,蛋,雞蛋
蔥,蔥,蔥
蕃茄醬,蕃茄醬,番茄醬
鮮味炒手,鮮味炒手,鮮味炒手
薄片五花肉,薄片五花肉,豬肉
你愛的韓式泡菜,你愛的韓式泡菜,泡菜
香菇素蠔油,香菇素蠔油,蠔油
蒜逃,蒜逃,蒜
金針菇,金針菇,金針菇
一隻可以塞進氣炸鍋的雞,一隻可以塞進氣炸鍋的雞,雞肉
洋蔥,洋蔥,洋蔥
蒜逃,蒜逃,蒜
你愛的烤肉醬,你愛的烤肉醬,食用油
五香粉,五香粉,五香粉
牛絞肉,牛絞肉,牛絞肉
豬絞肉,豬絞肉,豬肉
紅酒（醃肉）,紅酒,葡萄
無塩番茄醬,無塩番茄醬,番茄
紅椒粉,紅椒粉,紅椒粉
高湯（或干貝粉＋水）,高湯,高湯
蒜頭、洋蔥切碎,蒜頭、洋蔥切碎,蒜頭
Mozzarella起司,Mozzarella起司,起司
巴西里葉（可有可無）,巴西里葉,巴西里
白芝麻醬,白芝麻醬,芝麻
無顆粒花生醬,無顆粒花生醬,花生
白醋,白醋,白醋
冰水,冰水,水
淡醬油,淡醬油,大豆
糖,糖,糖
關廟麵（細麵）,關廟麵,麵
小黃瓜,小黃瓜,小黃瓜
胡蘿蔔絲,胡蘿蔔絲,胡蘿蔔
綠豆芽,綠豆芽,綠豆芽
鹽,鹽,鹽
美蔬菜 (免洗生菜盒),美蔬菜 ,蔬菜
蘋果(中),蘋果,蘋果
牛番茄,牛番茄,番茄
雞蛋,雞蛋,雞蛋
雞胸肉,雞胸肉,雞肉
南瓜(中),南瓜,南瓜
葡萄乾,葡萄乾,葡萄乾
核桃,核桃,核桃
吐司邊,吐司邊,小麥
愛玉子,愛玉子,愛玉子
水,水,水
蜂蜜,蜂蜜,蜂蜜
檸檬,檸檬,檸檬
芹菜,芹菜,芹菜
紅蘿蔔,紅蘿蔔,紅蘿蔔
大蒜,大蒜,蒜
奶油,奶油,奶油
中筋麵粉,中筋麵粉,麵粉
全脂奶粉,全脂奶粉,牛奶
雞高湯,雞高湯,高湯
綠豆芽（黃豆芽則是1斤）,綠豆芽,綠豆芽
胡椒鹽,胡椒鹽,鹽
白芝麻,白芝麻,芝麻
麻辣粉,麻辣粉,辣椒
魚露,魚露,魚露
糖,糖,糖
