ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
秋葵,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,秋葵,秋葵
鹽麴,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽麴,鹽麴
橄欖油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,橄欖油,橄欖油
鹽,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽,鹽
低筋麵粉,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,低筋麵粉,麵粉
砂糖,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,砂糖,糖
栗子南瓜,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,栗子南瓜,南瓜
無鹽奶油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,無鹽奶油,奶油
柞菜,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,柞菜,榨菜
火鍋肉片,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,火鍋肉片,肉片
黃麵,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,黃麵,麵
蔥頭油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,蔥頭油,蔥油
雞湯罐頭,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,雞湯罐頭,雞湯
煮麵水,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,煮麵水,水
鹽,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽,鹽
味精,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,味精,味精
全聯四季豆,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,全聯四季豆,四季豆
蒜蒜屋,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,蒜蒜屋,蒜
胡椒粉,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,胡椒粉,胡椒
鹽巴,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽巴,鹽
鮮味炒手,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鮮味炒手,鮮味炒手
菠菜,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,菠菜,菠菜
蒜,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,蒜,蒜
橄欖油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,橄欖油,橄欖油
鹽,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽,鹽
米酒,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,米酒,米酒
豆皮,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,豆皮,豆皮
肉,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,肉,肉
肉絲,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,肉絲,肉
豆乾,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,豆乾,豆乾
小白菜,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,小白菜,小白菜
紅蘿蔔絲,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,紅蘿蔔絲,紅蘿蔔
鹽,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽,鹽
雞粉,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,雞粉,雞粉
蠔油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,蠔油,蠔油
豆乾,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,豆乾,豆乾
肉絲,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,肉絲,肉
醬油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,醬油,醬油
鹽巴,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽巴,鹽
蒜頭,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,蒜頭,蒜
醬油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,醬油,醬油
醬油膏,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,醬油膏,醬油膏
米酒,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,米酒,米酒
香油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,香油,芝麻油
胡椒粉,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,胡椒粉,胡椒
切塊雞腿,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,切塊雞腿,雞腿
新鮮香菇,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,新鮮香菇,香菇
鹽巴,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,鹽巴,鹽
胡椒粉,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,胡椒粉,胡椒
乾麵,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,乾麵,麵
醬油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,醬油,醬油
烏醋,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,烏醋,烏醋
香油,2025-11-26 14:03:15,2025-11-26 14:03:15,pending,香油,芝麻油
