recept_id,recipe_source,recipe_name,recipe_url,author,people,recipe_upload_date,crawl_datetime,ins_timestamp,upd_timestamp
392769,icook,泡菜蛤蠣炒泡麵,https://icook.tw/recipes/392769,Amber Chen,2,2021-09-12,2025-10-23 22:54:49.013238,2025-11-27 14:57:47,2025-11-27 14:57:47
392995,icook,【影片篇】雞肉泡菜豆腐飯（一人前),https://icook.tw/recipes/392995,甜蜜蘋果的美食與攝影世界,1,2021-09-15,2025-10-23 22:54:49.917223,2025-11-27 14:57:47,2025-11-27 14:57:47
390691,icook,韓式泡菜炒飯（김치볶음밥）,https://icook.tw/recipes/390691,CY料理時記,2,2021-09-19,2025-10-23 22:54:50.800717,2025-11-27 14:57:47,2025-11-27 14:57:47
393191,icook,韓式辣醬豆腐湯,https://icook.tw/recipes/393191,懶人蘿阿姨,4,2021-09-23,2025-10-23 22:54:51.479190,2025-11-27 14:57:47,2025-11-27 14:57:47
394121,icook,泡菜乳酪千張蛋餅,https://icook.tw/recipes/394121,鋁罐の健康食記,1,2021-09-30,2025-10-23 22:54:51.988763,2025-11-27 14:57:47,2025-11-27 14:57:47
394277,icook,「紅燦燦」家庭版韓式辣泡菜鍋Jjigae,https://icook.tw/recipes/394277,蜜斯Ann的美食日記,1,2021-10-05,2025-10-23 22:54:52.296400,2025-11-27 14:57:47,2025-11-27 14:57:47
292868,icook,豚骨風胡麻味噌拉麵,https://icook.tw/recipes/292868,Lincecum Wu,1,2021-10-05,2025-10-23 22:54:52.865179,2025-11-27 14:57:47,2025-11-27 14:57:47
394783,icook,韓式泡菜鮮蝦水餃,https://icook.tw/recipes/394783,Charlotte Huang,1,2021-10-09,2025-10-23 22:54:53.311075,2025-11-27 14:57:47,2025-11-27 14:57:47
394984,icook,氣炸鍋食譜 泡菜起司蔬菜豬肉捲,https://icook.tw/recipes/394984,酷客貝比,2,2021-10-11,2025-10-23 22:54:53.811861,2025-11-27 14:57:47,2025-11-27 14:57:47
395157,icook,韓式水泡菜,https://icook.tw/recipes/395157,Carrie,4,2021-10-14,2025-10-23 22:54:54.099821,2025-11-27 14:57:47,2025-11-27 14:57:47
395246,icook,泡菜炒烏龍,https://icook.tw/recipes/395246,菲。Phyllis!,1,2021-10-15,2025-10-23 22:54:54.574211,2025-11-27 14:57:47,2025-11-27 14:57:47
396070,icook,泡菜豬義大利麵,https://icook.tw/recipes/396070,鋁罐の健康食記,1,2021-10-24,2025-10-23 22:54:55.059887,2025-11-27 14:57:47,2025-11-27 14:57:47
396691,icook,鮪魚泡菜煎餅 (燕麥粉),https://icook.tw/recipes/396691,莎莉健康自煮日常,1,2021-11-02,2025-10-23 22:54:55.638825,2025-11-27 14:57:47,2025-11-27 14:57:47
398326,icook,韓式泡菜燉烏魚,https://icook.tw/recipes/398326,浦維老師的料理廚房,4,2021-11-26,2025-10-23 22:54:56.076346,2025-11-27 14:57:47,2025-11-27 14:57:47
401771,icook,快速黃金泡菜(大白菜版本),https://icook.tw/recipes/401771,Justina 賈斯汀娜,6,2022-01-18,2025-10-23 22:54:56.447986,2025-11-27 14:57:47,2025-11-27 14:57:47
243437,icook,韓式泡菜,https://icook.tw/recipes/243437,愛料理官方品牌廚房,1,2018-03-14,2025-10-23 22:54:57.090605,2025-11-27 14:57:47,2025-11-27 14:57:47
182800,icook,黃金泡菜,https://icook.tw/recipes/182800,真妮4(Jennifer),10,2017-01-02,2025-10-23 22:54:58.098807,2025-11-27 14:57:47,2025-11-27 14:57:47
183053,icook,台式泡菜,https://icook.tw/recipes/183053,Abby Feng,1,2017-01-04,2025-10-23 22:54:58.536588,2025-11-27 14:57:47,2025-11-27 14:57:47
168147,icook,零失敗韓式泡菜豆腐鍋,https://icook.tw/recipes/168147,小人妻大本事,5,2017-01-19,2025-10-23 22:54:58.964161,2025-11-27 14:57:47,2025-11-27 14:57:47
184774,icook,台式泡菜,https://icook.tw/recipes/184774,胖仙女,6,2017-01-19,2025-10-23 22:54:59.365739,2025-11-27 14:57:47,2025-11-27 14:57:47
186013,icook,辣炒起士春川雞,https://icook.tw/recipes/186013,老K廚房,2,2017-02-01,2025-10-23 22:54:59.930156,2025-11-27 14:57:47,2025-11-27 14:57:47
188577,icook,柔阿嬤配方～自製『味醂＋台式泡菜』,https://icook.tw/recipes/188577,林安安,1,2017-02-20,2025-10-23 22:55:00.576644,2025-11-27 14:57:47,2025-11-27 14:57:47
198717,icook,韓式泡菜炒豬肉,https://icook.tw/recipes/198717,小毓の饗樂廚房🍳,4,2017-04-24,2025-10-23 22:55:00.970289,2025-11-27 14:57:47,2025-11-27 14:57:47
243425,icook,黃金泡菜,https://icook.tw/recipes/243425,愛料理官方品牌廚房,1,2018-03-12,2025-10-23 22:55:01.738453,2025-11-27 14:57:47,2025-11-27 14:57:47
244715,icook,泡菜豆腐豬肉鍋~一鍋到底超簡單!,https://icook.tw/recipes/244715,小田太太の玩樂廚房,4,2018-03-22,2025-10-23 22:55:02.079205,2025-11-27 14:57:47,2025-11-27 14:57:47
271497,icook,韓式泡菜煎餅+沾醬,https://icook.tw/recipes/271497,安綺小姐,4,2018-10-24,2025-10-23 22:55:02.856364,2025-11-27 14:57:47,2025-11-27 14:57:47
357365,icook,韓國泡菜❤️花媽泡菜小組,https://icook.tw/recipes/357365,澱粉豬豬家族🐽,10,2020-11-02,2025-10-23 22:55:03.447906,2025-11-27 14:57:47,2025-11-27 14:57:47
357456,icook,韓式泡菜煎餅,https://icook.tw/recipes/357456,不藏私旅行煮藝,2,2020-11-05,2025-10-23 22:55:03.882968,2025-11-27 14:57:47,2025-11-27 14:57:47
386917,icook,自製烤肉醃醬-韓式泡菜豬肉,https://icook.tw/recipes/386917,懶人蘿阿姨,4,2021-07-26,2025-10-23 22:55:04.343992,2025-11-27 14:57:47,2025-11-27 14:57:47
389782,icook,三絲泡菜腐皮捲（抗菜價料理）,https://icook.tw/recipes/389782,Amy廚房,4,2021-08-13,2025-10-23 22:55:04.679487,2025-11-27 14:57:47,2025-11-27 14:57:47
390873,icook,涼拌泡菜豆腐,https://icook.tw/recipes/390873,男人廚房1+1,1,2021-08-23,2025-10-23 22:55:05.298086,2025-11-27 14:57:47,2025-11-27 14:57:47
391528,icook,十分鐘早餐食譜~秋葵歐姆蛋,https://icook.tw/recipes/391528,Arthur's Home,1,2021-08-30,2025-10-23 22:55:05.837309,2025-11-27 14:57:47,2025-11-27 14:57:47
101692,icook,(超簡單) 泡菜豆腐鍋,https://icook.tw/recipes/101692,男人廚房1+1,1,2015-02-24,2025-10-23 22:55:06.631346,2025-11-27 14:57:47,2025-11-27 14:57:47
104051,icook,開胃台式泡菜,https://icook.tw/recipes/104051,Summer Wu,10,2015-03-19,2025-10-23 22:55:07.012380,2025-11-27 14:57:47,2025-11-27 14:57:47
105202,icook,韓式泡菜拌冬粉[維力炸醬 ],https://icook.tw/recipes/105202,王群媖,10,2015-03-30,2025-10-23 22:55:07.378745,2025-11-27 14:57:47,2025-11-27 14:57:47
106832,icook,十分鐘備妥上班族午餐～悶燒罐之韓式辣年糕,https://icook.tw/recipes/106832,愛麗兒廚房,1,2015-04-14,2025-10-23 22:55:07.733729,2025-11-27 14:57:47,2025-11-27 14:57:47
107299,icook,韓式泡菜煎餅,https://icook.tw/recipes/107299,Feng  Lin,1,2015-04-18,2025-10-23 22:55:08.412895,2025-11-27 14:57:47,2025-11-27 14:57:47
111808,icook,韓國泡菜起士年糕鍋,https://icook.tw/recipes/111808,關於下廚這一條不歸路。,3,2015-05-28,2025-10-23 22:55:08.802976,2025-11-27 14:57:47,2025-11-27 14:57:47
111816,icook,台式黃金梅子泡菜~配自炸臭豆腐滋味ㄧ級棒,https://icook.tw/recipes/111816,Monaca,1,2015-05-28,2025-10-23 22:55:09.323000,2025-11-27 14:57:47,2025-11-27 14:57:47
118260,icook,韓式冷麵,https://icook.tw/recipes/118260,貓奴の食旅玩味,1,2015-07-28,2025-10-23 22:55:09.748390,2025-11-27 14:57:47,2025-11-27 14:57:47
124118,icook,韓式泡菜豆腐冬粉煲,https://icook.tw/recipes/124118,甜廚花姐姐,1,2015-09-21,2025-10-23 22:55:10.167409,2025-11-27 14:57:47,2025-11-27 14:57:47
126812,icook,韓式部隊鍋,https://icook.tw/recipes/126812,時尚煮婦 Nico,2,2015-10-15,2025-10-23 22:55:10.659163,2025-11-27 14:57:47,2025-11-27 14:57:47
135190,icook,部隊鍋 - {韓式經典},https://icook.tw/recipes/135190,男人廚房1+1,1,2015-12-08,2025-10-23 22:55:11.074889,2025-11-27 14:57:47,2025-11-27 14:57:47
136794,icook,黃金泡菜,https://icook.tw/recipes/136794,Feng  Lin,1,2015-12-21,2025-10-23 22:55:11.657473,2025-11-27 14:57:47,2025-11-27 14:57:47
146688,icook,韓式正宗部隊鍋（黃俊推薦）,https://icook.tw/recipes/146688,黃俊,1,2016-03-06,2025-10-23 22:55:11.902961,2025-11-27 14:57:47,2025-11-27 14:57:47
152982,icook,黃金泡菜,https://icook.tw/recipes/152982,欣蒂小廚娘,4,2016-04-18,2025-10-23 22:55:12.398342,2025-11-27 14:57:47,2025-11-27 14:57:47
164432,icook,起司泡菜煎餅치즈김치전(蔬食版),https://icook.tw/recipes/164432,《慧喬的料理學習記事》,4,2016-07-23,2025-10-23 22:55:12.941376,2025-11-27 14:57:47,2025-11-27 14:57:47
173153,icook,媽媽牌壽司,https://icook.tw/recipes/173153,Lily Yeh,3,2016-10-06,2025-10-23 22:55:13.477974,2025-11-27 14:57:47,2025-11-27 14:57:47
18184,icook,泡菜煎餅,https://icook.tw/recipes/18184,蔡阿歆,1,2012-03-28,2025-10-23 22:55:13.757529,2025-11-27 14:57:47,2025-11-27 14:57:47
25956,icook,泡菜炒雞肉,https://icook.tw/recipes/25956,咚咚,1,2012-08-27,2025-10-23 22:55:14.442382,2025-11-27 14:57:47,2025-11-27 14:57:47
29504,icook,台式泡菜,https://icook.tw/recipes/29504,Leah,1,2012-10-16,2025-10-23 22:55:14.820538,2025-11-27 14:57:47,2025-11-27 14:57:47
30329,icook,韓式部隊鍋,https://icook.tw/recipes/30329,Ryan,1,2012-10-27,2025-10-23 22:55:15.306831,2025-11-27 14:57:47,2025-11-27 14:57:47
30408,icook,~黃金泡菜做法~,https://icook.tw/recipes/30408,Carol Huang,1,2012-10-29,2025-10-23 22:55:16.125483,2025-11-27 14:57:47,2025-11-27 14:57:47
30667,icook,韓國泡菜,https://icook.tw/recipes/30667,阿美媽媽韓國料理,1,2012-11-01,2025-10-23 22:55:16.461463,2025-11-27 14:57:47,2025-11-27 14:57:47
42081,icook,臭豆腐的好朋友---台式泡菜,https://icook.tw/recipes/42081,Yvonne Kuan,1,2013-03-29,2025-10-23 22:55:17.137629,2025-11-27 14:57:47,2025-11-27 14:57:47
57564,icook,韓式泡菜鍋,https://icook.tw/recipes/57564,Chris Lee,3,2013-10-08,2025-10-23 22:55:17.768845,2025-11-27 14:57:47,2025-11-27 14:57:47
57604,icook,韓式蔬菜海鮮泡菜鍋,https://icook.tw/recipes/57604,Fan,4,2013-10-13,2025-10-23 22:55:18.498850,2025-11-27 14:57:47,2025-11-27 14:57:47
61553,icook,★四川泡菜炒肉末★,https://icook.tw/recipes/61553,Debbie的小廚房,4,2013-11-22,2025-10-23 22:55:18.669629,2025-11-27 14:57:47,2025-11-27 14:57:47
66695,icook,泡菜味噌豬肉鍋,https://icook.tw/recipes/66695,Sweet Betty西點沙龍,1,2013-12-30,2025-10-23 22:55:19.138885,2025-11-27 14:57:47,2025-11-27 14:57:47
58747,icook,台式泡菜,https://icook.tw/recipes/58747,Hannah Wu,1,2014-03-26,2025-10-23 22:55:19.689656,2025-11-27 14:57:47,2025-11-27 14:57:47
76234,icook,韓式辣豆腐湯,https://icook.tw/recipes/76234,Joyce,2,2014-05-07,2025-10-23 22:55:20.195105,2025-11-27 14:57:47,2025-11-27 14:57:47
80343,icook,泡菜焗烤水餃,https://icook.tw/recipes/80343,貓奴の食旅玩味,2,2014-06-24,2025-10-23 22:55:20.651940,2025-11-27 14:57:47,2025-11-27 14:57:47
85115,icook,【33廚房】四川泡菜,https://icook.tw/recipes/85115,33廚房,1,2014-08-26,2025-10-23 22:55:20.892557,2025-11-27 14:57:47,2025-11-27 14:57:47
93480,icook,泡菜炒豬肉,https://icook.tw/recipes/93480,男人廚房1+1,2,2014-11-27,2025-10-23 22:55:21.437940,2025-11-27 14:57:47,2025-11-27 14:57:47
97245,icook,泡菜炒豬肉_10分鐘零廚藝【穀盛壽喜燒】,https://icook.tw/recipes/97245,18食堂♥︎,4,2015-01-07,2025-10-23 22:55:21.883122,2025-11-27 14:57:47,2025-11-27 14:57:47
182114,icook,酸爽帶勁 不矯氣的四川泡菜 (生水版),https://icook.tw/recipes/182114,MomoFish,1,2016-12-27,2025-10-23 22:55:22.608672,2025-11-27 14:57:47,2025-11-27 14:57:47
182251,icook,不膩口 酸鹹下飯 四川泡菜炒豬五花,https://icook.tw/recipes/182251,MomoFish,2,2016-12-28,2025-10-23 22:55:23.215232,2025-11-27 14:57:47,2025-11-27 14:57:47
391447,icook,春川辣炒雞_Toffy無煙燒烤盤,https://icook.tw/recipes/391447,18食堂♥︎,2,2021-09-07,2025-10-23 22:55:23.922218,2025-11-27 14:57:47,2025-11-27 14:57:47
392499,icook,泡菜炒鮮蔬豆皮｜10分鐘素食家常菜,https://icook.tw/recipes/392499,Wonda溫答｜外宿簡單煮,1,2021-09-09,2025-10-23 22:55:24.242367,2025-11-27 14:57:47,2025-11-27 14:57:47
294979,icook,泡菜蓋飯,https://icook.tw/recipes/294979,愛料理官方品牌廚房,2,2019-05-03,2025-10-23 22:55:24.806182,2025-11-27 14:57:47,2025-11-27 14:57:47
387183,icook,辛奇燉五花肉（韓式泡菜燉五花）,https://icook.tw/recipes/387183,浦維老師的料理廚房,4,2021-07-26,2025-10-23 22:55:25.294463,2025-11-27 14:57:47,2025-11-27 14:57:47
