ingredients,t_ingredient_name,normalized_name
蒸熟馬鈴薯泥,蒸熟馬鈴薯泥,馬鈴薯
酸辣湯包,酸辣湯包,豬肉
鮮玉米粒,鮮玉米粒,玉米
香醋花生拌醬,香醋花生拌醬,花生
酸菜白肉鍋底,酸菜白肉鍋底,豬肉
市售火鍋料,市售火鍋料,豬肉
可頌牛角,可頌牛角,奶油
短尖尾紅辣椒,短尖尾紅辣椒,辣椒
長尖尾綠辣椒,長尖尾綠辣椒,辣椒
罐頭蕃茄肉醬,罐頭蕃茄肉醬,豬肉
糖稀,糖稀,糖
帶肉豬里肌大骨,帶肉豬里肌大骨,豬肉
脫膜生花生仁,脫膜生花生仁,花生
鯖魚丁(煎過),鯖魚丁,鯖魚
摩扎瑞拉芝士,摩扎瑞拉芝士,芝士
起司濃湯包,起司濃湯包,起司
豆皮包,豆皮包,豆皮
辣味豆腐乳,辣味豆腐乳,豆腐
傳統口味豆腐乳,傳統口味豆腐乳,豆腐
水煮罐頭鮪魚,水煮罐頭鮪魚,鮪魚
新鮮義式洋香菜(切碎),新鮮義式洋香菜,洋香菜
雞胸肉碎,雞胸肉碎,雞肉
香脆辣瓜罐頭,香脆辣瓜罐頭,瓜
香脆辣瓜汁,香脆辣瓜汁,瓜
斜筆管麵,斜筆管麵,麵粉
紫洋蔥丁,紫洋蔥丁,洋蔥
熟酪梨,熟酪梨,酪梨
百里香香料,百里香香料,百里香
多力魚片,多力魚片,吳郭魚
煮熟義大利直麵,煮熟義大利直麵,麵粉
