ingredients,Unit,Grams_Per_Unit
水,又1/2大匙,22.5
蒜頭,顆,5.0
薑,片,3.0
茄子,條,200.0
雞蛋,顆,55.0
雞腿,支,120.0
大蒜,粒,5.0
冷開水,㏄,1.0
米酒,㏄,1.0
青蔥,支,15.0
八角,顆,2.0
甘草,片,1.0
蒜末,顆,5.0
沙拉油,又1/2大匙,20.25
鍚蘭肉桂丁,根,5.0
丁香,粒,0.1
香茅,根,30.0
薑黃粉,又1/2茶匙,4.5
魚,條,300.0
蔥,根,15.0
紅辣椒,根,7.0
滷包,個,25.0
大頭菜,顆,350.0
草果,顆,3.0
A.水,㏄,1.0
糖色,㏄,1.0
C.蛋白,公克(約2個),1.0
新鮮豆皮,片,40.0
紅辣椒,支,7.0
蒜頭,大顆,6.0
酒,㏄,1.0
黃甜椒,顆,200.0
紅甜椒,顆,200.0
紅蘿蔔,條,120.0
白蘿蔔,條,600.0
素豆雞,個,75.0
鮮香菇,朵,20.0
素肉,塊,0.0
洋菇,朵,7.0
素鴨,個,150.0
"滷汁：
滷包",包,15.0
辣椒,條,7.0
熟鹹蛋,顆,55.0
水,碗,280.0
香草莢,條,3.0
鮮奶,㏄,1.03
玻璃紙,張,0.0
秋葵,支,7.0
蔬菜高湯,㏄,1.0
沙拉油,㏄,0.92
蒜頭,粒,4.0
透抽,尾,200.0
蟳味棒,根,18.0
辣椒,根,7.0
青蔥,根,12.0
蛋豆腐,盒,290.0
豬梅花肉,公,0.0
檸檬汁,㏄,1.0
高麗菜,個,1200.0
胡蘿蔔,個,100.0
馬鈴薯,個,180.0
白花椰菜,顆,700.0
小紅蕃茄,顆,12.0
薑片,片,3.0
蕃茄醬,匙,5.0
月桂葉,片,0.2
昆布,公分,0.8
百頁豆腐,塊,350.0
沙拉筍,支,250.0
a.蕃茄醬,大匙,16.0
金針菇,包,150.0
絲瓜,條,300.0
辣椒絲,條,1.0
小黃瓜,條,70.0
板豆腐,塊,350.0
香菇,朵,20.0
去骨雞腿肉,隻,180.0
小黃椒,條,10.0
蔥,支,15.0
雞胸肉,片,120.0
洋蔥,顆,180.0
三角油豆腐,片,25.0
鴻喜菇,包,150.0
乾香菇,朵,8.0
玉米筍,根,200.0
香菜,根,1.5
檸檬,顆,120.0
素鴨肉,塊,150.0
素高湯,杯,240.0
蓮子,粒,1.5
"中藥材：
當歸",片,4.0
紅棗,∼12粒,96.0
桂圓肉,個,0.7
山藥,片,5.0
白果,顆,2.0
蔘鬚,條,100.0
蕃茄顆,顆,120.0
洋蔥顆,顆,200.0
高麗菜,顆,150.0
三角油豆腐,块,15.0
洋葱,个,175.0
红甜椒,个,175.0
黄甜椒,个,175.0
四季豆,支,7.0
辣椒,支,5.0
水,CC,1.0
八角,粒,2.0
年糕纸,张,1.0
水,-850kPa,0.0
中華豆腐,盒,350.0
A.檸檬汁,CC,1.0
白醋,CC,1.0
苦瓜,個,250.0
豆包,片,8.0
香菇絲,朵,15.0
麻油,又1/2小匙,2.3
紅蔥頭,顆,200.0
乾魷魚,隻,1.5
芋頭,顆,300.0
烤麩,個,15.0
竹筍,支,200.0
大里肌,一塊,150.0
玉米筍,支,7.0
八角,錢,3.75
小茴香,錢,3.75
陳皮,錢,3.75
花椒,錢,3.75
丁香,錢,3.75
桂皮,錢,3.75
三奈,錢,3.75
桂枝,錢,3.75
棉布袋,個,0.0
豬腳,支,700.0
蒜仁,粒,4.0
滷包,包,20.0
蒜末,粒,4.0
月桂葉片,片,0.3
九層塔葉絲,片,1.0
B.薑,段,50.0
蘋果,個,180.0
奇異果,個,75.0
百香果,個,40.0
檸檬,個,90.0
鳳梨,個,1200.0
土虱,尾,30.0
熟地,片,15.0
荷薺,個,300.0
白飯,碗,180.0
黑豆干,塊,30.0
餅乾壓模,數個,0.0
塑膠袋,張,0.0
熟飯,碗,180.0
洋蔥絲,顆,1.0
草果,粒,18.0
羅漢果,粒,40.0
苦瓜,條,280.0
炸豆包,塊,10.0
A.豆腐,塊,350.0
涼薯,個,200.0
山東饅頭,個,80.0
B.大白菜,個,1500.0
豆腐皮,張,15.0
蓮藕,節,300.0
麵腸,條,150.0
A.去骨雞腿,隻,200.0
紹興酒,CC,1.0
辣椒,枝,10.0
新鮮香菇,朵,20.0
竹笙,支,2.0
柿子,顆,200.0
百香果,∼3顆,40.0
花椰菜,∼6小朵,15.0
醬油,∼4大匙,15.0
糖,∼3大匙,15.0
萬用滷包,個,0.0
大蒜,瓣,5.0
香菇,數朵,15.0
豬肚,個,0.0
乾木耳,朵,2.0
四季豆,隻,7.0
素高湯,半碗,120.0
白粥,碗,250.0
紅辣椒,條,15.0
熱帶風情茶包,包,2.5
A.香蕉,根,120.0
小蕃茄,顆,15.0
芒果,個,300.0
香米白飯,碗,200.0
咖哩粉,又1/2茶匙,1.5
基础面条,份,150.0
麻竹笋,支,200.0
粽叶,片,5.0
棉绳,条,8.0
果糖,稍许,1.5
蒜苗,支,15.0
嫩豆腐,块,120.0
罐头午餐肉,罐,340.0
热狗肠,根,50.0
韩式年糕,根,12.0
韓國辣泡麵,塊,100.0
全蛋,顆,50.0
原味麵包甜甜圈,數個,0.0
板豆腐,大塊,350.0
水,約1/2碗,100.0
1.低筋麵粉,又1/3杯,40.0
2.紅糖,半杯,100.0
黑白芝麻,各2大匙,36.0
白苦瓜,條,250.0
米釀豆腐乳,塊,25.0
愛爾蘭咖啡組,組,0.0
打火機,個,20.0
蛋,粒,55.0
百頁豆腐,條,120.0
筍白筍,支,150.0
香菜,支,2.0
蛋,顆,55.0
豆腐乳,塊,20.0
"裝飾：
食用紅色色素",包,5.0
嫩豆腐,盒,350.0
蒜仁,顆,4.0
豬肋排,根,150.0
青花菜,小朵,15.0
果糖,CC,1.6
葡萄柚汁,顆,180.0
百香果,顆,40.0
柳橙汁,又1/2顆,42.5
檸檬汁,CC,1.0
罐頭鳳梨汁,CC,1.0
生豆皮,塊,35.0
蘋果,顆,180.0
秋葵,根,12.0
芹菜,根,50.0
檸檬,又1/2顆,165.0
柳丁,顆,180.0
金桔,顆,15.0
白話梅,顆,40.0
香草海綿蛋糕,吋1片,90.0
長條甜不辣,條,120.0
青椒,個,150.0
奇異果,半顆,45.0
紅龍果,半個,200.0
芒果,片,50.0
葡萄,顆,4.0
西瓜,片,200.0
蘋果,片,20.0
老薑,塊,30.0
桂竹筍,支,120.0
老薑片,片,3.0
青花椰菜,個,400.0
南瓜,個,1000.0
蛋黃,顆,18.0
水,c.c,1.0
蔥段,枝,15.0
大月餅印模,個,0.0
"餡料：
豆沙",∼12兩,450.0
"轉化糖漿：
紅砂糖",公,0.0
果糖,中匙,10.0
臭豆腐,塊,80.0
5.檸檬汁,個,40.0
檸檬皮,個,5.0
6.海綿蛋糕體,片,70.0
"內餡：
火腿片",片,25.0
玉米粒,罐,340.0
罐頭鳳梨片,罐,400.0
青椒絲,顆,120.0
A.百頁豆腐,塊,250.0
紅蘿蔔,片,10.0
猴頭菇,朵,100.0
杏鮑菇,朵,60.0
椰漿,罐(400㏄),400.0
巴蘭葉汁,滴,0.05
皮蛋,顆,70.0
長方形平底鍋,個,0.0
豬里肌烤肉片,盒,350.0
紅棗,粒,7.0
素雞,條,200.0
薑末,塊,10.0
辣椒絲,根,1.0
杏鮑菇,根,75.0
洋蔥,粒,180.0
番茄,顆,130.0
米酒,CC,1.0
冬粉,束,50.0
檸檬片,片,15.0
櫻桃,顆,7.0
苦瓜,顆,300.0
芭樂,顆,200.0
地瓜葉,片,0.5
冰塊,塊,18.0
腐皮,張,15.0
香菜,株,10.0
牛頭牌蛤蜊湯塊,塊,10.0
水煮蛋,顆,55.0
蘿美生菜,片,15.0
白土司,片,28.0
奇異果,又1/4個,20.0
梅子,粒,15.0
泡發香菇,朵,15.0
海苔,張,3.0
白蘿蔔,個,400.0
發好的竹笙,片,8.0
紅棗,顆,7.0
白木耳,錢,3.75
B.香菇,朵,20.0
黑木耳,朵,10.0
韭菜,支,1.5
皎白筍,條,150.0
大蕃茄,顆,200.0
豆腐,小塊,40.0
紅蔥頭,粒,180.0
白木耳,朵,15.0
蓮藕,條,300.0
蓮子,顆,0.8
蒸籠,個,0.0
大頭菜,個,200.0
花椰菜,半顆,400.0
A.西洋芹,支,3.0
花椰菜,個,800.0
紅蘿蔔,個,80.0
番茄,個,150.0
香葉,片,0.5
鯖魚,尾,180.0
牛蕃茄,顆,200.0
玉米,條,200.0
萬用滷包,包,0.0
蘆筍,根,15.0
去骨牛小排,片,150.0
清水,C.C,1.0
甜菊,朵,1.0
B.話梅,顆,8.0
小黃瓜,數條,0.0
黑木耳,片,2.0
蒜仁,瓣,4.0
香蕉,根,150.0
起酥皮,片,70.0
大溪豆干滷包,包,20.0
滷包,份,20.0
乾辣椒,支,1.0
醬油,又1/2小匙,7.5
三色土司,片,25.0
彩色餐巾紙,張,1.0
魔帶,段,1.0
蘭桔酒,CC,1.0
紅石榴汁,CC,1.0
高湯,ＣＣ,1.0
紫糯米,量杯,185.0
圓糯米,量杯,185.0
滷蛋,顆,55.0
A.熱狗,條,55.0
竹籤,根,200.0
紹興梅,顆,10.0
芋頭,個,200.0
蒜頭碎,瓣,5.0
紅蔥頭碎,瓣,15.0
西芹,枝,3.0
水梨,顆,300.0
綠辣椒,支,20.0
青木瓜,顆,800.0
白蘿蔔,半條,400.0
鹽,中匙,5.0
細砂糖,中匙,4.0
白醋,中匙,5.0
臭豆腐,片,50.0
油條,根,60.0
A.雞腿肉,隻,180.0
牛奶蘇打餅乾,片,7.0
冽豆腐,塊,60.0
蕃茄,個,180.0
彼士裘依蛋糓,片,120.0
梨子,顆,180.0
A.醬油膏,C.C,1.0
涼開水,C.C,1.0
B.蔥,根,15.0
蛋絲,顆,0.0
市售蛋餅皮,片,10.0
豆干,塊,75.0
冷飯,碗,180.0
熟竹筍,支,70.0
木耳,朵,10.0
剉冰,碗,400.0
芋頭,條,80.0
可樂,罐,330.0
栗子南瓜,個,1000.0
C.義大利香芹菜,支,5.0
豆腐,塊,350.0
菠菜,顆,30.0
潤餅皮,張,8.0
豆干,片,30.0
鳳梨罐頭,瓶,600.0
蛋白,粒,1.5
B.生菜葉,片,15.0
