ori_ingredient_id,ori_ingredient_name,unit_name,weight_grams,ins_time,upd_time,u2g_status
59,水,1/2大匙,22.5,2025-11-26 16:42:37,2025-11-26 16:42:37,done
82,蒜頭,顆,5.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
56,薑,片,3.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
269,茄子,條,200.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
31,雞蛋,顆,55.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
270,雞腿,支,120.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
271,大蒜,粒,5.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
272,冷開水,cc,1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
79,米酒,cc,1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
77,青蔥,支,15.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
146,八角,顆,2.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
273,甘草,片,1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
101,蒜末,顆,5.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
125,沙拉油,1/2大匙,20.25,2025-11-26 16:42:37,2025-11-26 16:42:37,done
274,鍚蘭肉桂丁,根,5.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
275,丁香,粒,0.1,2025-11-26 16:42:37,2025-11-26 16:42:37,done
276,香茅,根,30.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
277,薑黃粉,1/2茶匙,4.5,2025-11-26 16:42:37,2025-11-26 16:42:37,done
278,魚,條,300.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
55,蔥,根,15.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
120,紅辣椒,根,7.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
279,滷包,個,25.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
117,大頭菜,顆,350.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
280,草果,顆,3.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
59,水,cc,1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
281,糖色,cc,1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
282,蛋白,公克(約2個),1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
283,新鮮豆皮,片,40.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
120,紅辣椒,支,7.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
82,蒜頭,大顆,6.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
284,酒,cc,1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
285,黃甜椒,顆,200.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
286,紅甜椒,顆,200.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
61,紅蘿蔔,條,120.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
287,白蘿蔔,條,600.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
288,素豆雞,個,75.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
289,鮮香菇,朵,20.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
290,素肉,塊,0.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
291,洋菇,朵,7.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
292,素鴨,個,150.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
279,滷包,包,15.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
158,辣椒,條,7.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
293,熟鹹蛋,顆,55.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
59,水,碗,280.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
294,香草莢,條,3.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
258,鮮奶,cc,1.03,2025-11-26 16:42:37,2025-11-26 16:42:37,done
295,玻璃紙,張,0.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
251,秋葵,支,7.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
296,蔬菜高湯,cc,1.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
125,沙拉油,cc,0.92,2025-11-26 16:42:37,2025-11-26 16:42:37,done
82,蒜頭,粒,4.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
297,透抽,尾,200.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
298,蟳味棒,根,18.0,2025-11-26 16:42:37,2025-11-26 16:42:37,done
