ori_ingredient_id,ori_ingredient_name,nor_ingredient_name,ins_time,upd_time,normalize_status
1,洋蔥,洋蔥,2025-11-25 00:11:46,2025-11-25 00:14:48,done
2,中華黃金豆腐,中華黃金豆腐,2025-11-25 00:11:46,2025-11-25 00:14:48,done
3,醬油,醬油,2025-11-25 00:11:46,2025-11-25 00:14:48,done
4,麵線,麵線,2025-11-25 00:11:46,2025-11-25 00:14:48,done
5,豬高湯,豬高湯,2025-11-25 00:11:46,2025-11-25 00:14:48,done
6,水（可續加）,水（可續加）,2025-11-25 00:11:46,2025-11-25 00:14:48,done
7,柴魚片,柴魚片,2025-11-25 00:11:46,2025-11-25 00:14:48,done
8,蒜酥,蒜酥,2025-11-25 00:11:46,2025-11-25 00:14:48,done
9,紅蔥頭/油蔥酥,紅蔥頭/油蔥酥,2025-11-25 00:11:46,2025-11-25 00:14:48,done
10,胡椒粉,胡椒粉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
11,烏醋,烏醋,2025-11-25 00:11:46,2025-11-25 00:14:48,done
12,太白粉,太白粉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
13,水（勾芡用）,水（勾芡用）,2025-11-25 00:11:46,2025-11-25 00:14:48,done
14,青椒/甜椒,青椒/甜椒,2025-11-25 00:11:46,2025-11-25 00:14:48,done
15,絞肉,絞肉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
16,蒜泥,蒜泥,2025-11-25 00:11:46,2025-11-25 00:14:48,done
17,薑泥,薑泥,2025-11-25 00:11:46,2025-11-25 00:14:48,done
18,蔥花,蔥花,2025-11-25 00:11:46,2025-11-25 00:14:48,done
19,芋頭,芋頭,2025-11-25 00:11:46,2025-11-25 00:14:48,done
20,白砂糖,白砂糖,2025-11-25 00:11:46,2025-11-25 00:14:48,done
21,牛奶,牛奶,2025-11-25 00:11:46,2025-11-25 00:14:48,done
22,奇福餅乾,奇福餅乾,2025-11-25 00:11:46,2025-11-25 00:14:48,done
23,冷萃凍乾咖啡,冷萃凍乾咖啡,2025-11-25 00:11:46,2025-11-25 00:14:48,done
24,檸檬,檸檬,2025-11-25 00:11:46,2025-11-25 00:14:48,done
25,蘋果西打,蘋果西打,2025-11-25 00:11:46,2025-11-25 00:14:48,done
26,冰塊,冰塊,2025-11-25 00:11:46,2025-11-25 00:14:48,done
27,希臘無糖優格,希臘無糖優格,2025-11-25 00:11:46,2025-11-25 00:14:48,done
28,奶油乳酪,奶油乳酪,2025-11-25 00:11:46,2025-11-25 00:14:48,done
29,細砂糖,細砂糖,2025-11-25 00:11:46,2025-11-25 00:14:48,done
30,海藻糖,海藻糖,2025-11-25 00:11:46,2025-11-25 00:14:48,done
31,雞蛋,雞蛋,2025-11-25 00:11:46,2025-11-25 00:14:48,done
32,玉米粉,玉米粉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
33,高筋麵粉,高筋麵粉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
34,糖,糖,2025-11-25 00:11:46,2025-11-25 00:14:48,done
35,速發酵母,速發酵母,2025-11-25 00:11:46,2025-11-25 00:14:48,done
36,鹽,鹽,2025-11-25 00:11:46,2025-11-25 00:14:48,done
37,無鹽奶油,無鹽奶油,2025-11-25 00:11:46,2025-11-25 00:14:48,done
38,全蛋液,全蛋液,2025-11-25 00:11:46,2025-11-25 00:14:48,done
39,蘋果果醬,蘋果果醬,2025-11-25 00:11:46,2025-11-25 00:14:48,done
40,無籽葡萄乾,無籽葡萄乾,2025-11-25 00:11:46,2025-11-25 00:14:48,done
41,蝴蝶造型餅乾,蝴蝶造型餅乾,2025-11-25 00:11:46,2025-11-25 00:14:48,done
42,苦甜巧克力磚,苦甜巧克力磚,2025-11-25 00:11:46,2025-11-25 00:14:48,done
43,湯種,湯種,2025-11-25 00:11:46,2025-11-25 00:14:48,done
44,中筋麵粉,中筋麵粉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
45,三溫糖,三溫糖,2025-11-25 00:11:46,2025-11-25 00:14:48,done
46,玫瑰花醬,玫瑰花醬,2025-11-25 00:11:46,2025-11-25 00:14:48,done
47,奶油,奶油,2025-11-25 00:11:46,2025-11-25 00:14:48,done
48,乾燥玫瑰花（壓碎）,乾燥玫瑰花（壓碎）,2025-11-25 00:11:46,2025-11-25 00:14:48,done
49,乾燥玫瑰花（泡水用）,乾燥玫瑰花（泡水用）,2025-11-25 00:11:46,2025-11-25 00:14:48,done
50,水或玫瑰水,水或玫瑰水,2025-11-25 00:11:46,2025-11-25 00:14:48,done
51,酵母,酵母,2025-11-25 00:11:46,2025-11-25 00:14:48,done
52,核桃,核桃,2025-11-25 00:11:46,2025-11-25 00:14:48,done
53,杏桃乾,杏桃乾,2025-11-25 00:11:46,2025-11-25 00:14:48,done
54,雞腿排,雞腿排,2025-11-25 00:11:46,2025-11-25 00:14:48,done
55,蔥,蔥,2025-11-25 00:11:46,2025-11-25 00:14:48,done
56,薑,薑,2025-11-25 00:11:46,2025-11-25 00:14:48,done
57,胡椒鹽,胡椒鹽,2025-11-25 00:11:46,2025-11-25 00:14:48,done
58,植物奶油,植物奶油,2025-11-25 00:11:46,2025-11-25 00:14:48,done
59,水,水,2025-11-25 00:11:46,2025-11-25 00:14:48,done
60,凍豆腐丁,凍豆腐丁,2025-11-25 00:11:46,2025-11-25 00:14:48,done
61,紅蘿蔔,紅蘿蔔,2025-11-25 00:11:46,2025-11-25 00:14:48,done
62,蕃茄,蕃茄,2025-11-25 00:11:46,2025-11-25 00:14:48,done
63,西洋芹,西洋芹,2025-11-25 00:11:46,2025-11-25 00:14:48,done
64,雪白菇,雪白菇,2025-11-25 00:11:46,2025-11-25 00:14:48,done
65,紅椒,紅椒,2025-11-25 00:11:46,2025-11-25 00:14:48,done
66,馬鈴薯,馬鈴薯,2025-11-25 00:11:46,2025-11-25 00:14:48,done
67,玉米筍,玉米筍,2025-11-25 00:11:46,2025-11-25 00:14:48,done
68,高麗菜,高麗菜,2025-11-25 00:11:46,2025-11-25 00:14:48,done
69,月桂葉,月桂葉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
70,黑楜椒粒,黑楜椒粒,2025-11-25 00:11:46,2025-11-25 00:14:48,done
71,義式香料,義式香料,2025-11-25 00:11:46,2025-11-25 00:14:48,done
72,蕃茄醬,蕃茄醬,2025-11-25 00:11:46,2025-11-25 00:14:48,done
73,空心菜,空心菜,2025-11-25 00:11:46,2025-11-25 00:14:48,done
74,蒜片,蒜片,2025-11-25 00:11:46,2025-11-25 00:14:48,done
75,牛肉,牛肉,2025-11-25 00:11:46,2025-11-25 00:14:48,done
76,挪威鮭魚,挪威鮭魚,2025-11-25 00:11:46,2025-11-25 00:14:48,done
77,青蔥,青蔥,2025-11-25 00:11:46,2025-11-25 00:14:48,done
78,老薑,老薑,2025-11-25 00:11:46,2025-11-25 00:14:48,done
79,米酒,米酒,2025-11-25 00:11:46,2025-11-25 00:14:48,done
