"name","coe","unit","departmentname","announcementyear"
"台灣自來水(2011)",0.167,"立方公尺(m3)","台灣自來水公司",2013
"食用大豆油",1.23,"公斤(kg)","衛生福利部食品藥物管理署",2014
"臺北自來水(2013)",0.17,"立方公尺(m3)","環境部",2014
"天然氣(於固定源使用，2012)",2.52,"立方公尺(m3)","環境部",2014
"食用醋(酒粕醋)",0.68,"公斤(kg)","衛生福利部食品藥物管理署",2014
"食用醋(糯米醋)",0.42,"公斤(kg)","衛生福利部食品藥物管理署",2014
"特製液糖(20公噸)",7.03,"公噸(mt)","台灣糖業公司",2014
"精製二砂(25公斤)",14.67,"包","台灣糖業公司",2014
"精製細砂(25公斤)",15.47,"包","台灣糖業公司",2014
"自產二砂(50公斤)",57.95,"包","台灣糖業公司",2014
"精製特砂(50公斤)",29.6,"包","台灣糖業公司",2014
"精製特砂(1公噸，太空袋裝)",606.55,"公噸(mt)","台灣糖業公司",2014
"養殖石斑魚活體",5834.88,"公噸(mt)","行政院農業委員會漁業署",2014
"養殖石斑魚條凍",7072.67,"公噸(mt)","行政院農業委員會漁業署",2014
"養殖吳郭魚冷凍魚片",4476.42,"公噸(mt)","行政院農業委員會漁業署",2014
"盒裝去殼牡蠣",1096.25,"公噸(mt)","行政院農業委員會漁業署",2014
"馬鈴薯",0.11,"公斤(kg)","環境部",2015
"小麥粉",0.72,"公斤(kg)","環境部",2015
"七星鱸",4.87,"公斤(kg)","衛生福利部食品藥物管理署",2015
"芝麻油",614.64,"公斤(kg)","衛生福利部食品藥物管理署",2015
"醬油(高蛋白豆片釀造)",849.88,"公斤(kg)","衛生福利部食品藥物管理署",2015
"醬油(黃豆釀造)",1.68,"公斤(kg)","衛生福利部食品藥物管理署",2015
"醬油(黑豆釀造)",2.22,"公斤(kg)","衛生福利部食品藥物管理署",2015
"養殖文蛤",4.87,"公斤(kg)","行政院農業委員會漁業署",2015
"養殖冷凍白蝦",9.37,"公斤(kg)","行政院農業委員會漁業署",2015
"鮮蛋",0.28,"顆","石安牧場",2015
"石質地磚",4.5,"公斤(kg)","宏洲窯業股份有限公司",2015
"摃丸",1.72,"公斤(kg)","新宇禎福記摃丸有限公司",2015
"炊粉",0.57,"公斤(kg)","新華米粉廠有限公司",2015
"焦糖烤布丁",0.34,"個","台南市政府環境保護局、紅磚布丁",2016
"食用玉蜀黍",0.29,"公斤(kg)","環境部",2016
"蔗糖",0.37,"公斤(kg)","環境部",2016
"糖蜜",0.32,"公斤(kg)","環境部",2016
"大豆沙拉油 (0.6 L)",0.895,"瓶","環境部、台灣糖業股份有限公司小港廠",2016
"大豆沙拉油 (2 L)",3.07,"瓶","環境部、台灣糖業股份有限公司小港廠",2016
"大豆沙拉油 (2.6 L)",3.87,"瓶","環境部、台灣糖業股份有限公司小港廠",2016
"大豆沙拉油 (3 L)",4.45,"瓶","環境部、台灣糖業股份有限公司小港廠",2016
"大豆沙拉油 (18 L)",27.7,"桶","環境部、台灣糖業股份有限公司小港廠",2016
"大豆沙拉油 (18 kg)",30.4,"桶","環境部、台灣糖業股份有限公司小港廠",2016
"烤酥油 (2 L)",3.07,"瓶","環境部、台灣糖業股份有限公司小港廠",2016
"烤酥油 (3 L)",4.42,"瓶","環境部、台灣糖業股份有限公司小港廠",2016
"烤酥油 (18 L)",27.5,"桶","環境部、台灣糖業股份有限公司小港廠",2016
"烤酥油 (18 kg)",30.5,"桶","環境部、台灣糖業股份有限公司小港廠",2016
"歪頭奶瓶(240ml)",3.16,"個","春池玻璃實業有限公司",2016
"高粱酒(58度，600ml)",4,"瓶","台南市政府環境保護局、成大酒廠股份有限公司",2016
"豆漿(450ml，鋁箔包裝)",0.16,"盒","統一企業股份有限公司",2016
"奶茶(250ml，鋁箔包裝)",0.11,"包","統一企業股份有限公司",2016
"奶茶(300ml，鋁箔包裝)",0.13,"包","統一企業股份有限公司",2016
"奶茶(375ml，鋁箔包裝)",0.16,"包","統一企業股份有限公司",2016
"紅茶(250ml，鋁箔包裝)",0.095,"包","統一企業股份有限公司",2016
"紅茶(300ml，鋁箔包裝)",0.11,"包","統一企業股份有限公司",2016
"紅茶(375ml，鋁箔包裝)",0.13,"包","統一企業股份有限公司",2016
"綠茶(250ml，鋁箔包裝)",0.09,"包","統一企業股份有限公司",2016
"綠茶(300ml，鋁箔包裝)",0.1,"包","統一企業股份有限公司",2016
"番茄醬",6.48,"罐","衛生福利部食品藥物管理署",2016
"麵粉",0.531,"公斤(kg)","衛生福利部食品藥物管理署",2016
"台灣鯛",2.29,"公斤(kg)","衛生福利部食品藥物管理署",2016
"經典台灣啤酒 (330 ml，收縮膜6罐裝)",0.21,"罐","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"經典台灣啤酒(330 ml，收縮膜6罐裝)",1.29,"組","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"經典台灣啤酒(330 ml，紙箱24罐裝)",0.21,"罐","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"經典台灣啤酒(330 ml，紙箱24罐裝)",5.14,"箱","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"經典台灣啤酒(500 ml，紙箱24罐裝)",0.32,"罐","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"經典台灣啤酒(500 ml，紙箱24罐裝)",7.64,"箱","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"經典台灣啤酒(600 ml，玻璃瓶裝)",0.33,"瓶","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(330 ml，收縮膜6罐裝)",0.22,"罐","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(330 ml，收縮膜6罐裝)",1.33,"組","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(330 ml，紙箱24罐裝)",0.22,"罐","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(330 ml，紙箱24罐裝)",5.3,"箱","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(500 ml，紙箱24罐裝)",0.33,"罐","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(500 ml ，紙箱24罐裝)",7.88,"箱","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(600 ml，紙箱12瓶裝)",0.4,"瓶","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"金牌台灣啤酒(600 ml，紙箱12瓶裝)",9.48,"箱","環境部、台灣菸酒股份有限公司善化啤酒廠、中華航空公司",2016
"鎂錠",28.7,"公斤(kg)","經濟部工業局",2016
"微藻素火腿",2.49,"條","台南市政府環境保護局",2016
"猴頭菇素火腿",2.43,"條","台南市政府環境保護局",2016
"煙燻素火腿",2.59,"條","台南市政府環境保護局",2016
"素火腿",2.37,"條","台南市政府環境保護局",2016
"芝麻粉",2.58,"罐","台南市政府環境保護局",2016
"清麻油(300 ml)",1.38,"瓶","台南市政府環境保護局",2016
"清麻油(500 ml)",2.54,"瓶","台南市政府環境保護局",2016
"黑麻油(300 ml)",1.38,"瓶","台南市政府環境保護局",2016
"黑麻油(500 ml)",2.53,"瓶","台南市政府環境保護局",2016
"葵花油",5.78,"公斤(kg)","環境部",2017
"有機越光米",1.59,"公斤(kg)","宜蘭縣政府環境保護局",2017
"紅茶",7.04,"公斤(kg)","宜蘭縣政府環境保護局",2017
"再生鋅合金錠",0.0403,"公斤(kg)","環境部",2017
"有機三星蔥",0.558,"公斤(kg)","宜蘭縣政府環境保護局",2017
"水梨",1.79,"公斤(kg)","宜蘭縣政府環境保護局",2017
"精鹽(食用鹽)",0.17,"公斤(kg)","環境部",2017
"咖哩醬",2,"公斤(kg)","衛生福利部食品藥物管理署",2017
"味噌",1.14,"公斤(kg)","衛生福利部食品藥物管理署",2017
"素沙茶醬",1.58,"公斤(kg)","衛生福利部食品藥物管理署",2017
"鰹魚柴魚花",3.82,"公斤(kg)","衛生福利部食品藥物管理署",2017
"鯖魚柴魚花",3.63,"公斤(kg)","衛生福利部食品藥物管理署",2017
"咖啡菇",0.3,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(斤耳)",0.278,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"無線滑鼠",3.76,"支","環境部",2017
"咖啡菇(冬雪菇)",0.286,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(杏鮑菇)",0.339,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(秀珍菇)",0.288,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(柳松菇)",0.322,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(珊瑚菇)",0.282,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(夏雪菇)",0.287,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(猴頭菇)",0.341,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(黑木耳)",0.279,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(豬肚菇)",0.309,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"咖啡菇(鮑魚菇)",0.32,"盒","國立曾文高級農工職業學校、臺南市政府環境保護局",2017
"麵條",1.24,"公斤(kg)","合進商行關廟廠、臺南市政府環境保護局",2017
"原味關廟麵",1.85,"包","合進商行關廟廠、臺南市政府環境保護局",2017
"烏龍麵",1.85,"包","合進商行關廟廠、臺南市政府環境保護局",2017
"芝麻油",1.4,"公斤(kg)","環境部、福壽實業股份有限公司",2017
"芝麻油(543 ml)",1.22,"瓶","環境部、福壽實業股份有限公司",2017
